stamp,position_x,position_y,position_z,rpy_x,rpy_y,rpy_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_acceleration_x,angular_acceleration_y,angular_acceleration_z,slip_angle_x,slip_angle_y,slip_angle_z,slip_angle_front,slip_angle_rear,trust,status
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=889834157)",122.99484129043735,142.03362101920885,0.0,0.0,0.0,-2.3871094150958383,0.002415456473137342,0.00041448056656000453,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007828997580218989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=930306477)",122.99420886488791,142.03358334474476,0.0,0.0,0.0,-2.387053756154694,0.0027656866250569795,-0.00019283691451154442,0.0,0.0,0.0,0.0,0.0,0.0,0.004913665808372182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=960137736)",122.99392925030533,142.033380071979,0.0,0.0,0.0,-2.3869282039148545,0.002995770205812645,-0.0002464604004674227,0.0,0.0,0.0,0.0,0.0,0.0,0.0036450292070905554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=989807614)",122.99377425663701,142.0331588399757,0.0,0.0,0.0,-2.3869435023353365,0.0031426581267929763,-0.0001503152597441158,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016268581878809783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=10753520)",122.99373927941107,142.03312945949267,0.0,0.0,0.0,-2.3869603911448434,0.003099499387170226,-0.00014877000860205416,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021790969473161045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=40049778)",122.9936885689161,142.03308691142684,0.0,0.0,0.0,-2.3868809173985577,0.0030346885926995242,-0.00014673589459252107,0.0,0.0,0.0,0.0,0.0,0.0,0.0036584835431183924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=50196438)",122.99367212712346,142.0330731294786,0.0,0.0,0.0,-2.386843168881858,0.0030130857714054274,-0.00014608217233885495,0.0,0.0,0.0,0.0,0.0,0.0,0.0037748489054773757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=89851277)",122.99336818492714,142.03274837494357,0.0,0.0,0.0,-2.3867501495562116,0.0032972711717720975,-9.799115502077259e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.001492397591372138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=100194311)",122.99335021072068,142.03273261642815,0.0,0.0,0.0,-2.386741457028405,0.003274478813922243,-9.754155112305917e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0008692500499259581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=120198584)",122.9928313127878,142.03277640890852,0.0,0.0,0.0,-2.3867505769884927,0.0035373378150889336,-0.000663534190746257,0.0,0.0,0.0,0.0,0.0,0.0,0.0011620435332084613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=140075088)",122.99268777419316,142.03267438617235,0.0,0.0,0.0,-2.3867156861375145,0.0036169425808227377,-0.0006762082675745859,0.0,0.0,0.0,0.0,0.0,0.0,0.002935421722248154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=179945783)",122.99259604993021,142.0326195053045,0.0,0.0,0.0,-2.386561034660665,0.0035184592028484362,-0.0006633700848725092,0.0,0.0,0.0,0.0,0.0,0.0,0.003937754543394966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=189849661)",122.99240339861264,142.03251080198524,0.0,0.0,0.0,-2.3865417638415694,0.003691319188205678,-0.0007310687813879619,0.0,0.0,0.0,0.0,0.0,0.0,0.003317307128291072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=200564717)",122.99237945691864,142.0324968440044,0.0,0.0,0.0,-2.3865168425997334,0.003666029004158359,-0.0007275371184360697,0.0,0.0,0.0,0.0,0.0,0.0,0.002492122216863868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=210090709)",122.99235582381841,142.03248309241698,0.0,0.0,0.0,-2.386496932779973,0.003640724795269469,-0.000723957847978958,0.0,0.0,0.0,0.0,0.0,0.0,0.0019909800331817887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=220025931)",122.99233249785267,142.03246954549425,0.0,0.0,0.0,-2.386482643889188,0.003615412299716742,-0.0007203299129640398,0.0,0.0,0.0,0.0,0.0,0.0,0.0014288871595140177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=230137569)",122.99230947746763,142.03245620148581,0.0,0.0,0.0,-2.3864721406635923,0.0035900953942757793,-0.0007166611936694245,0.0,0.0,0.0,0.0,0.0,0.0,0.001050320664460199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=240064758)",122.99228976521974,142.03252520725258,0.0,0.0,0.0,-2.3864575017230485,0.0035038122337498747,-0.0007997174863250897,0.0,0.0,0.0,0.0,0.0,0.0,0.0014325759956644191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
