stamp,message_name,message_id,message_type,sequence_number,time_status,gps_week_number,gps_week_milliseconds,receiver_status,idle_time,sol_status,pos_type,lat,lon,hgt,diff_age
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=536118603)",BESTGNSSPOS,1429,0,0,180,2373,322417500,33554432,55,0,50,36.587740396496535,-121.7552827976649,232.77517958916724,0.5
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=580288282)",BESTGNSSPOS,1429,0,0,180,2373,322417550,33554432,55,0,50,36.587740395917244,-121.75528281000217,232.77325851935893,0.550000011920929
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=633596870)",BESTGNSSPOS,1429,0,0,180,2373,322417600,33554432,55,0,50,36.58774040246694,-121.75528280134037,232.7737952535972,0.6000000238418579
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=680515385)",BESTGNSSPOS,1429,0,0,180,2373,322417650,33554432,55,0,50,36.58774039568315,-121.75528280123679,232.77216341905296,0.6499999761581421
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=729725889)",BESTGNSSPOS,1429,0,0,180,2373,322417700,33554432,55,0,50,36.58774038798331,-121.75528281045834,232.77242440357804,0.699999988079071
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=782547382)",BESTGNSSPOS,1429,0,0,180,2373,322417750,33554432,55,0,50,36.58774039312917,-121.75528282541534,232.77300725877285,0.75
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=831470899)",BESTGNSSPOS,1429,0,0,180,2373,322417800,33554432,55,0,50,36.587740386012086,-121.75528280488211,232.77220492623746,0.800000011920929
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=880843544)",BESTGNSSPOS,1429,0,0,180,2373,322417850,33554432,55,0,50,36.5877403763951,-121.75528282641592,232.77414849121124,0.8500000238418579
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=931254894)",BESTGNSSPOS,1429,0,0,180,2373,322417900,33554432,55,0,50,36.58774037972481,-121.75528283651339,232.7753263330087,0.8999999761581421
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=982285188)",BESTGNSSPOS,1429,0,0,180,2373,322417950,33554432,55,0,50,36.587740375635654,-121.75528282312138,232.77210679277778,0.949999988079071
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=62026368)",BESTGNSSPOS,1429,0,0,180,2373,322418000,33554432,55,0,50,36.58774038540504,-121.75528283080605,232.77419165801257,1.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=80791389)",BESTGNSSPOS,1429,0,0,180,2373,322418050,33554432,49,0,50,36.58774036148207,-121.75528283858591,232.7736343285069,1.0499999523162842
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=130214495)",BESTGNSSPOS,1429,0,0,180,2373,322418100,33554432,49,0,50,36.58774037522207,-121.75528283569301,232.77272996865213,1.100000023841858
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=180558222)",BESTGNSSPOS,1429,0,0,180,2373,322418150,33554432,49,0,50,36.58774037204302,-121.7552828350424,232.77324165124446,1.149999976158142
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=232459813)",BESTGNSSPOS,1429,0,0,180,2373,322418200,33554432,49,0,50,36.58774036521203,-121.7552828355582,232.77019764203578,1.2000000476837158
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=280824309)",BESTGNSSPOS,1429,0,0,180,2373,322418250,33554432,49,0,50,36.587740357950366,-121.75528284882905,232.77227010764182,1.25
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=330883498)",BESTGNSSPOS,1429,0,0,180,2373,322418300,33554432,49,0,50,36.58774035667505,-121.75528284643494,232.77252102736384,1.2999999523162842
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=381391671)",BESTGNSSPOS,1429,0,0,180,2373,322418350,33554432,49,0,50,36.5877403594074,-121.75528285404611,232.77499789744616,1.350000023841858
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=431797752)",BESTGNSSPOS,1429,0,0,180,2373,322418400,33554432,49,0,50,36.5877403613366,-121.7552828752314,232.78400028310716,0.4000000059604645
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=480475927)",BESTGNSSPOS,1429,0,0,180,2373,322418450,33554432,49,0,50,36.58774035540644,-121.75528288681956,232.78079481516033,0.44999998807907104
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=534975046)",BESTGNSSPOS,1429,0,0,180,2373,322418500,33554432,49,0,50,36.587740351319766,-121.75528289275725,232.78209353610873,0.5
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=582052722)",BESTGNSSPOS,1429,0,0,180,2373,322418550,33554432,49,0,50,36.58774035266305,-121.75528290373595,232.78235775139183,0.550000011920929
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=633491756)",BESTGNSSPOS,1429,0,0,180,2373,322418600,33554432,49,0,50,36.58774034187897,-121.7552828875041,232.78156071621925,0.6000000238418579
