stamp,message_name,message_id,message_type,sequence_number,time_status,gps_week_number,gps_week_milliseconds,receiver_status,idle_time,sol_status,pos_type,lat,lon,hgt,diff_age
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=985268034)",BESTGNSSPOS,1429,0,0,180,2373,322418950,33587200,26,0,50,36.587741785915725,-121.75527272594371,233.33222454879433,0.949999988079071
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=64122132)",BESTGNSSPOS,1429,0,0,180,2373,322419000,33587200,26,0,50,36.587741782344516,-121.75527273821251,233.33313808776438,1.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=85382524)",BESTGNSSPOS,1429,0,0,180,2373,322419050,33587200,26,0,50,36.58774177254395,-121.75527273999809,233.3346323557198,1.0499999523162842
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=134490914)",BESTGNSSPOS,1429,0,0,180,2373,322419100,33587200,26,0,50,36.58774177019673,-121.75527273788835,233.33458114042878,1.100000023841858
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=184114557)",BESTGNSSPOS,1429,0,0,180,2373,322419150,33587200,26,0,50,36.58774176801509,-121.75527274473667,233.3351072417572,1.149999976158142
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=248231646)",BESTGNSSPOS,1429,0,0,180,2373,322419200,33587200,26,0,50,36.587741769577974,-121.75527275329854,233.33339313417673,1.2000000476837158
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=340068806)",BESTGNSSPOS,1429,0,0,180,2373,322419250,33587200,26,0,50,36.58774177098336,-121.7552727462644,233.33732130471617,1.25
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=346083965)",BESTGNSSPOS,1429,0,0,180,2373,322419300,33587200,26,0,50,36.58774176799338,-121.75527275572355,233.33416311163455,1.2999999523162842
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=420338000)",BESTGNSSPOS,1429,0,0,180,2373,322419350,33587200,26,0,50,36.58774177164726,-121.75527274491643,233.33506108541042,1.350000023841858
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=448083696)",BESTGNSSPOS,1429,0,0,180,2373,322419400,33587200,26,0,50,36.58774175699738,-121.7552727456179,233.3328950786963,1.399999976158142
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=484438151)",BESTGNSSPOS,1429,0,0,180,2373,322419450,33587200,26,0,50,36.587741761713445,-121.75527276331937,233.33078712876886,0.44999998807907104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=540449956)",BESTGNSSPOS,1429,0,0,180,2373,322419500,33587200,26,0,50,36.587741775245085,-121.7552727464536,233.33040540944785,0.5
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=584244497)",BESTGNSSPOS,1429,0,0,180,2373,322419550,33587200,26,0,50,36.587741775259126,-121.7552727500587,233.32921155076474,0.550000011920929
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=639606129)",BESTGNSSPOS,1429,0,0,180,2373,322419600,33587200,26,0,50,36.58774177940649,-121.75527274625051,233.3304946962744,0.6000000238418579
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=683670444)",BESTGNSSPOS,1429,0,0,180,2373,322419650,33587200,26,0,50,36.587741780299766,-121.75527275164877,233.33133850246668,0.6499999761581421
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=733560875)",BESTGNSSPOS,1429,0,0,180,2373,322419700,33587200,26,0,50,36.58774177184041,-121.75527276137781,233.3314503915608,0.699999988079071
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=784009640)",BESTGNSSPOS,1429,0,0,180,2373,322419750,33587200,26,0,50,36.58774177773103,-121.7552727589209,233.3317321455106,0.75
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=840059037)",BESTGNSSPOS,1429,0,0,180,2373,322419800,33587200,26,0,50,36.587741779890536,-121.75527275547844,233.331158073619,0.800000011920929
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=883229030)",BESTGNSSPOS,1429,0,0,180,2373,322419850,33587200,26,0,50,36.587741775453765,-121.75527275889254,233.3321588644758,0.8500000238418579
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=935217295)",BESTGNSSPOS,1429,0,0,180,2373,322419900,33587200,26,0,50,36.587741775167196,-121.75527276752321,233.332501786761,0.8999999761581421
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=984993420)",BESTGNSSPOS,1429,0,0,180,2373,322419950,33587200,26,0,50,36.58774177696934,-121.75527277155497,233.33042028080672,0.949999988079071
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=69357500)",BESTGNSSPOS,1429,0,0,180,2373,322420000,33587200,26,0,50,36.58774176669642,-121.75527276560281,233.33103089407086,1.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=87281263)",BESTGNSSPOS,1429,0,0,180,2373,322420050,33587200,26,0,50,36.587741762239226,-121.75527276572187,233.33098061941564,1.0499999523162842
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=134393181)",BESTGNSSPOS,1429,0,0,180,2373,322420100,33587200,25,0,50,36.587741765772485,-121.75527276710433,233.3319560782984,1.100000023841858
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=184234721)",BESTGNSSPOS,1429,0,0,180,2373,322420150,33587200,25,0,50,36.5877417483977,-121.75527277975826,233.3331596404314,1.149999976158142
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=257874360)",BESTGNSSPOS,1429,0,0,180,2373,322420200,33587200,25,0,50,36.58774174872461,-121.7552727900884,233.3311682380736,1.2000000476837158
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=284383225)",BESTGNSSPOS,1429,0,0,180,2373,322420250,33587200,25,0,50,36.58774174494648,-121.75527278091613,233.33150827977806,1.25
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=333509139)",BESTGNSSPOS,1429,0,0,180,2373,322420300,33587200,25,0,50,36.587741737749916,-121.75527278455232,233.3331358525902,1.2999999523162842
