stamp,message_name,message_id,message_type,sequence_number,time_status,gps_week_number,gps_week_milliseconds,receiver_status,idle_time,sol_status,vel_type,latency,diff_age,hor_speed,trk_gnd,ver_speed
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=839955821)",BESTVEL,1430,0,0,180,2373,322418800,33587200,26,0,novatel_oem7_msgs.msg.PositionOrVelocityType(type=50),0.02500000037252903,0.800000011920929,0.014274318131456729,194.50814893392058,0.047818447855252647
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=883911631)",BESTVEL,1430,0,0,180,2373,322418850,33587200,26,0,novatel_oem7_msgs.msg.PositionOrVelocityType(type=50),0.02500000037252903,0.8500000238418579,0.03087009802527043,166.8681740003166,0.0019578726825847676
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=934758314)",BESTVEL,1430,0,0,180,2373,322418900,33587200,26,0,novatel_oem7_msgs.msg.PositionOrVelocityType(type=50),0.02500000037252903,0.8999999761581421,0.006901520344980618,143.81137220288863,-0.023865211582563082
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=985976512)",BESTVEL,1430,0,0,180,2373,322418950,33587200,26,0,novatel_oem7_msgs.msg.PositionOrVelocityType(type=50),0.02500000037252903,0.949999988079071,0.028274266872268736,355.9807145032379,-0.050145729154118676
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=64927713)",BESTVEL,1430,0,0,180,2373,322419000,33587200,26,0,novatel_oem7_msgs.msg.PositionOrVelocityType(type=50),0.02500000037252903,1.0,0.023346103574124002,250.15305348406116,0.018284649884153265
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=86010164)",BESTVEL,1430,0,0,180,2373,322419050,33587200,26,0,novatel_oem7_msgs.msg.PositionOrVelocityType(type=50),0.02500000037252903,1.0499999523162842,0.02198555754434154,188.35869259385768,0.02987121241297646
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=134791576)",BESTVEL,1430,0,0,180,2373,322419100,33587200,26,0,novatel_oem7_msgs.msg.PositionOrVelocityType(type=50),0.02500000037252903,1.100000023841858,0.006434231332115087,144.06372717952394,-0.0010149589493618186
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=184998748)",BESTVEL,1430,0,0,180,2373,322419150,33587200,26,0,novatel_oem7_msgs.msg.PositionOrVelocityType(type=50),0.02500000037252903,1.149999976158142,0.013179257710230268,248.44449857605173,0.010521328558883417
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=334267084)",BESTVEL,1430,0,0,180,2373,322419200,33587200,26,0,novatel_oem7_msgs.msg.PositionOrVelocityType(type=50),0.02500000037252903,1.2000000476837158,0.015712137817360323,282.7546232632947,-0.034296876423809866
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=340644396)",BESTVEL,1430,0,0,180,2373,322419250,33587200,26,0,novatel_oem7_msgs.msg.PositionOrVelocityType(type=50),0.02500000037252903,1.25,0.012970567021882142,76.08534915822294,0.07856403818822394
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=346847076)",BESTVEL,1430,0,0,180,2373,322419300,33587200,26,0,novatel_oem7_msgs.msg.PositionOrVelocityType(type=50),0.02500000037252903,1.2999999523162842,0.018184520872515087,248.5965906729441,-0.06314661348452853
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=421190256)",BESTVEL,1430,0,0,180,2373,322419350,33587200,26,0,novatel_oem7_msgs.msg.PositionOrVelocityType(type=50),0.02500000037252903,1.350000023841858,0.020974408945636677,67.25391281304783,0.017933420018161506
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=448736757)",BESTVEL,1430,0,0,180,2373,322419400,33587200,26,0,novatel_oem7_msgs.msg.PositionOrVelocityType(type=50),0.02500000037252903,1.399999976158142,0.032539197069682425,182.21133797242757,-0.04330596319793796
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=484807651)",BESTVEL,1430,0,0,180,2373,322419450,33587200,26,0,novatel_oem7_msgs.msg.PositionOrVelocityType(type=50),0.02500000037252903,0.44999998807907104,0.024757458001774875,260.128669173759,0.0020753109314399776
