stamp,brk_pressure_cmd_counter,f_brake_pressure_cmd,r_brake_pressure_cmd
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=902658182)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=952759245)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=972838201)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=2836328)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=22760004)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=42764958)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=62784804)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=92663526)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=102682752)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=122821930)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=152661514)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=182916791)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=192683026)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=202666807)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=212663515)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=222666718)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=232798881)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=242985175)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=252744919)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=262882889)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=272633504)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=282816532)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=292818561)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=302813579)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=312698003)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=322667286)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=332739653)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=342793922)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=352754388)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=362801329)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=372836133)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=382773150)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=392695203)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=402694006)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=412897668)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=422716993)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=432837393)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=442773962)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=452674627)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=462661526)",5,0,0
