stamp,f_brk_pos_cmd,f_brk_pos_fbk,r_brk_pos_cmd,r_brk_pos_fbk
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=911765950)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=930998940)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=970945478)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=990995832)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=10978647)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=32782877)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=62069211)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=91001945)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=101752955)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=110969959)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=150908806)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=180996792)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=191747944)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=201766165)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=210929353)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=220986687)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=231018569)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=240981507)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=254383566)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=261743091)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=271015280)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=286486540)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=286486540)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=301753179)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=310934745)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=321744435)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=330956911)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=341765775)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=351749633)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=361756759)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=372567672)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=381105937)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=391741021)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=402222996)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=411747065)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=421362948)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=431756152)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=442406235)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=451770185)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=461854284)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=471748619)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=481745543)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=492076013)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=501747178)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=511761777)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=521745282)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=531758887)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=541759087)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=551748750)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=561749740)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=571745349)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=581752471)",7500.0,2400.0,7500.0,2400.0
