stamp,track_cond_ack,veh_sig_ack,ct_state,ct_state_rolling_counter,veh_num
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,161,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,165,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,167,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,170,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,172,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,174,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,177,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,180,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,181,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,182,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,186,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,188,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,189,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,190,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,191,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,192,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,193,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,194,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,195,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,196,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,197,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,198,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,199,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,200,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,201,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,202,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,203,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,204,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,205,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,206,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,207,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,208,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,209,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,210,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,211,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,212,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,213,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,214,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,215,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,216,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,217,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,218,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,219,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,220,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,221,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,222,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,223,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,224,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,225,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,226,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,227,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,228,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,229,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,230,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,231,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,232,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,233,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,234,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,238,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,239,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,240,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,242,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,244,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,245,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,248,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,251,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,252,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,1,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,4,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,6,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,10,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,11,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,12,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,14,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,17,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,22,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,24,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,25,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,26,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,27,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,28,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,29,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,30,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,31,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,32,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,33,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,34,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,35,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,36,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,37,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,38,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,39,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,40,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,41,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,42,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,43,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,44,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,45,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,46,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,47,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,48,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,49,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,50,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,51,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,52,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,53,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,54,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,55,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,56,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,57,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,58,10
"builtin_interfaces.msg.Time(sec=0, nanosec=0)",1,0,9,59,10
