stamp,driver_traction_aim_switch,driver_traction_range_switch,brake_bias_aim_switch
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=713801382)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=723172685)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=733221743)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=743064515)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=753184879)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=763137170)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=773141998)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=783024772)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=813198642)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=843085934)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=863287671)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=893255521)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=933515644)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=953028812)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=963350059)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=973218546)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=993089804)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=23119750)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=73247003)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=93187751)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=103168368)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=113092181)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=123321045)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=133212034)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=143258576)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=153255776)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=163239759)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=173234065)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=183242721)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=193092832)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=203922676)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=213247227)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=223093194)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=233379282)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=243383821)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=253290988)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=263149282)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=273171425)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=283276864)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=293224972)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=303323824)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=313173173)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=323280347)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=333129386)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=345110657)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=353406491)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=363173933)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=373399316)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=383283383)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=393448827)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=403180169)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=413132303)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=423207089)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=433215600)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=443520109)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=453302053)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=463278041)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=473324226)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=483132892)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=494389581)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=503269054)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=513114830)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=523076996)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=533423309)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=543206824)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=553372751)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=563254488)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=573300143)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=583288093)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=593224218)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=603141557)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=613813015)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=623290450)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=633523264)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=643207574)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=653260112)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=663890727)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=674384290)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=683585536)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=693665279)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=703413484)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=713221839)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=723519807)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=733369125)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=743212430)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=753284058)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=763444403)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=773286040)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=783268795)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=793210315)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=803310970)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=813327364)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=823406448)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=833273505)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=845118252)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=853293741)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=863191756)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=873456306)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=883379024)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=893282827)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=903158875)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=913201656)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=923369272)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=933420297)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=943440332)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=953403544)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=963411245)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=973455104)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=983261390)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=993147983)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=3248664)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=13376610)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=23347483)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=33339284)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=43508503)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=53296580)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=63356036)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=73257804)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=83598958)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=93609024)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=103332415)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=113355562)",0,0,9
