stamp,latitude,longitude,altitude,status,service,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_9,position_covariance_type
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=890819208)",36.58774185861837,-121.75527244119192,199.31517046951194,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=930823584)",36.58774185277833,-121.75527245323173,199.31544459134057,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=960824352)",36.587741851633396,-121.7552724519765,199.31545393710803,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=990829448)",36.58774185049738,-121.75527245085244,199.3154729972739,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=830240)",36.58774185019524,-121.75527245044269,199.31547440197028,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=20829984)",36.58774184887317,-121.75527244927825,199.31552812714472,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=50837384)",36.58774184733075,-121.75527244776485,199.3155086804245,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=80841480)",36.587741845658,-121.75527244668447,199.31549914100106,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=100841736)",36.58774184479303,-121.75527244633167,199.31554360202608,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=110846320)",36.587741855491096,-121.75527245339403,199.31595611811827,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=140847112)",36.58774185352737,-121.75527245245028,199.31596484862894,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=170853512)",36.58774185157909,-121.75527245134329,199.31599494146758,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=180852488)",36.58774185106575,-121.75527245138737,199.31601031968057,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=190856072)",36.58774185036646,-121.75527245104851,199.3160414808499,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=200857120)",36.587741849404196,-121.75527245094767,199.31606553541496,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=210859144)",36.58774184876339,-121.7552724505387,199.31605790895992,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=220857120)",36.58774184820489,-121.75527245054472,199.31606094408016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=230861704)",36.587741847463384,-121.75527245058936,199.3160856833838,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=240863752)",36.587741846705335,-121.75527245028512,199.3161213015519,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=250864520)",36.58774184562515,-121.75527244987661,199.31616107084756,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=260864264)",36.58774184489071,-121.7552724497769,199.31615766113828,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=270865800)",36.58774184410372,-121.75527244963382,199.31613061984172,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=280869104)",36.58774184360951,-121.75527244999826,199.31614209184227,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=290868872)",36.58774184298292,-121.75527245004524,199.31616477452917,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=300870176)",36.58774184213233,-121.75527244983357,199.31615606303603,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=310871200)",36.587741832174174,-121.75527246066511,199.31627342288266,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=320871688)",36.58774183168943,-121.75527246154692,199.31638044686406,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=330875016)",36.58774183142738,-121.75527246228111,199.31637334015977,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=340877064)",36.58774183084998,-121.7552724623933,199.31638378210118,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=350880648)",36.58774183020752,-121.75527246245926,199.31634552362084,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=360882440)",36.5877418294634,-121.7552724628524,199.31632393771724,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=370883208)",36.58774182901547,-121.75527246304873,199.31631903133348,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=380882184)",36.587741828458924,-121.75527246322216,199.31633571229395,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=390886024)",36.58774182785755,-121.75527246366302,199.31633940813117,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=400888072)",36.58774182733285,-121.75527246383858,199.3163543731007,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=410888840)",36.58774182719853,-121.75527246456537,199.31635007738987,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=420888072)",36.5877418267923,-121.75527246540857,199.31636952748886,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=430891656)",36.587741826376636,-121.75527246577401,199.31638139656206,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=440892448)",36.58774182575412,-121.75527246623618,199.3164198346949,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=450894472)",36.587741825295176,-121.75527246636318,199.3164112290042,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=460893448)",36.587741824963004,-121.75527246706754,199.31638228431257,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=470897288)",36.587741824446695,-121.75527246760983,199.31639100558823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=480898336)",36.58774182391191,-121.75527246787554,199.31641658934132,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=490899360)",36.587741822959714,-121.75527246814265,199.31643812278617,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=500898336)",36.587741822254756,-121.75527246810005,199.3162862964382,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=510903688)",36.58774182210548,-121.7552724858025,199.31683337464165,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=520905736)",36.587741821695296,-121.75527248632135,199.31682400585487,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
