stamp,source_topic,group_fields,utc_year,utc_month,utc_day,utc_hour,utc_min,utc_sec,utc_ms,tow,week,numsats,fix,poslla_x,poslla_y,poslla_z,velned_x,velned_y,velned_z,dop_g,dop_p,dop_t,dop_v,dop_h,dop_n,dop_e
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=306500425)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322417200407934,0,20,8,36.587741906,-121.755272594,199.3295,0.020999999716877937,0.017000000923871994,-0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=703602477)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322417399606193,0,0,8,36.587730149,-121.755288051,198.73770000000002,0.0,-0.006000000052154064,-0.003000000026077032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=503720902)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322417400407837,0,20,8,36.587741900999994,-121.755272599,199.33100000000002,0.009999999776482582,0.01899999938905239,-0.017999999225139618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=898800909)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322417599606083,0,0,8,36.587730146,-121.75528805399999,198.73850000000002,0.004000000189989805,-0.009999999776482582,-0.04100000113248825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=703602477)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322417600407740,0,20,8,36.587741875999996,-121.755272624,199.33020000000002,-0.03400000184774399,0.0010000000474974513,-0.004999999888241291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=898800909)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322417800407643,0,20,8,36.587741869,-121.75527273099999,199.3313,-0.014000000432133675,0.006000000052154064,0.024000000208616257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=106507722)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322418000407546,0,20,8,36.587741869999995,-121.75527272999999,199.33079999999998,0.009999999776482582,0.01600000075995922,-0.017999999225139618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=106507722)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322417799605973,0,0,8,36.587730138999994,-121.75528806099999,198.7359,-0.01899999938905239,-0.003000000026077032,0.008999999612569809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=304171894)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322418200407449,0,20,8,36.587741861,-121.755272739,199.3319,-0.01899999938905239,0.007000000216066837,0.007000000216066837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=304171894)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322417999605862,0,0,8,36.587730137,-121.75528806300001,198.73850000000002,0.004000000189989805,0.0020000000949949026,-0.024000000208616257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=499077572)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322418400407353,0,20,8,36.58774185,-121.75527274999999,199.3318,-0.00800000037997961,-0.004999999888241291,-0.026000000536441803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=499077572)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322418199605752,0,0,8,36.587730105,-121.755288095,198.7398,-0.014999999664723873,-0.007000000216066837,0.004000000189989805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=706634066)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322418600407256,0,20,8,36.587741830999995,-121.75527266900001,199.33010000000002,-0.0020000000949949026,0.003000000026077032,0.01600000075995922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=706634066)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322418399605642,0,0,8,36.58773007,-121.75528813,198.7394,-0.00800000037997961,-0.013000000268220901,0.003000000026077032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=896242908)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322418800407159,0,20,8,36.587741811,-121.75527268900001,199.3285,-0.027000000700354576,-0.007000000216066837,0.003000000026077032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=896242908)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322418599605532,0,0,8,36.587730073,-121.75528812699999,198.7378,-0.012000000104308128,-0.014000000432133675,-0.02800000086426735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=103789101)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322419000407062,0,20,8,36.587741811,-121.755272789,199.3288,0.003000000026077032,-0.017999999225139618,-0.014000000432133675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=103789101)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322418799605421,0,0,8,36.587730058999995,-121.75528814100001,198.73839999999998,0.009999999776482582,-0.014000000432133675,0.003000000026077032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=307952825)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322419200406965,0,20,8,36.587741795999996,-121.75527280399999,199.3294,0.0010000000474974513,-0.006000000052154064,0.03999999910593033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=307952825)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322418999605311,0,0,8,36.587730056,-121.755288244,198.74079999999998,0.008999999612569809,0.0,-0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=504424206)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322419400406868,0,20,8,36.587741799,-121.755272701,199.33,-0.006000000052154064,0.008999999612569809,-0.032999999821186066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=504424206)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322419199605201,0,0,8,36.587730041,-121.75528815899999,198.73579999999998,-0.020999999716877937,-0.004999999888241291,0.014000000432133675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=703725251)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322419600406771,0,20,8,36.58774180299999,-121.755272797,199.32829999999998,-0.006000000052154064,0.006000000052154064,-0.02800000086426735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=703725251)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322419399605091,0,0,8,36.58773005,-121.75528815,198.73510000000002,0.014999999664723873,0.0020000000949949026,0.008999999612569809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=906696672)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322419800406674,0,20,8,36.58774180899999,-121.75527279100001,199.3289,0.009999999776482582,-0.014999999664723873,0.03999999910593033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=906696672)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322419599604980,0,0,8,36.587730056999995,-121.755288243,198.73510000000002,0.009999999776482582,0.010999999940395355,-0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=106684211)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322420000406577,0,20,8,36.587741795,-121.75527280499999,199.3319,-0.0010000000474974513,0.0020000000949949026,0.017999999225139618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=106684211)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322419799604870,0,0,8,36.587730033999996,-121.755288166,198.7359,-0.003000000026077032,-0.008999999612569809,-0.006000000052154064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=306691061)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322420200406480,0,20,8,36.587741777999994,-121.755272822,199.3298,-0.009999999776482582,0.0020000000949949026,0.017999999225139618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=306691061)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322419999604760,0,0,8,36.587730033,-121.755288167,198.7392,-0.014000000432133675,0.008999999612569809,-0.014999999664723873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=507782274)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322420400406383,0,20,8,36.587741759,-121.75527284100001,199.3314,-0.0020000000949949026,-0.017000000923871994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=507782274)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322420199604650,0,0,8,36.587730019999995,-121.75528818,198.73770000000002,-0.014999999664723873,-0.014999999664723873,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=698959294)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322420600406286,0,20,8,36.587741765,-121.75527283499999,199.3345,-0.0010000000474974513,-0.017000000923871994,-0.0729999989271164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=698959294)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322420399604539,0,0,8,36.587730011,-121.755288189,198.7357,0.006000000052154064,-0.013000000268220901,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=896376701)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322420800406189,0,20,8,36.587741765,-121.75527283499999,199.33520000000001,0.012000000104308128,0.01600000075995922,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=896376701)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322420599604429,0,0,8,36.587729995,-121.75528820499999,198.7343,-0.004999999888241291,-0.007000000216066837,0.03700000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=104572774)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322421000406093,0,20,8,36.587741737,-121.75527276300001,199.3325,-0.052000001072883606,-0.052000001072883606,0.01600000075995922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=104572774)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322420799604319,0,0,8,36.587729988999996,-121.75528821099998,198.7343,-0.010999999940395355,0.004999999888241291,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=306769943)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322421200405996,0,20,8,36.587741419,-121.75527318099999,199.3295,-0.2759999930858612,-0.2619999945163727,-0.020999999716877937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=306769943)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322420999604208,0,0,8,36.587729969,-121.755288231,198.7344,-0.03400000184774399,-0.041999999433755875,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=496057680)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322421400405899,0,20,8,36.587740737,-121.755274063,199.3269,-0.5350000262260437,-0.5139999985694885,0.017999999225139618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
