stamp,nov_header_message_id,nov_header_time_status,nov_header_gps_week,nov_header_gps_ms,nov_header_receiver_status,length,heading,pitch,heading_stdev,pitch_stdev,rover_stn_id,master_stn_id,num_sv_tracked,num_sv_in_sol,num_sv_obs,num_sv_multi,galileo_beidou_sig_mask,gps_glonass_sig_mask,sol_status,pos_type,sol_source,ext_sol_status
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=981756916)",1335,180,2373,322417950,33554432,-1.0,136.70706176757812,0.7655392289161682,0.3293374180793762,0.7099958658218384,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=60742564)",1335,180,2373,322418000,33554432,-1.0,136.87176513671875,0.6920441389083862,0.3280167579650879,0.7077032327651978,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=82040926)",1335,180,2373,322418050,33554432,-1.0,136.6769256591797,0.6368725299835205,0.32844310998916626,0.7080779075622559,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=132152530)",1335,180,2373,322418100,33554432,-1.0,136.6888885498047,0.8251041173934937,0.3285413980484009,0.7071443796157837,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=181764624)",1335,180,2373,322418150,33554432,-1.0,136.69790649414062,0.6719229221343994,0.32755759358406067,0.7045084834098816,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=234285652)",1335,180,2373,322418200,33554432,-1.0,136.7696533203125,0.7365021109580994,0.327813982963562,0.7058788537979126,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=282075564)",1335,180,2373,322418250,33554432,-1.0,136.77496337890625,0.9109709858894348,0.3267889618873596,0.7039890289306641,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=332123213)",1335,180,2373,322418300,33554432,-1.0,136.6752166748047,0.8599239587783813,0.32734453678131104,0.7055083513259888,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=382965637)",1335,180,2373,322418350,33554432,-1.0,136.7776641845703,0.7740368247032166,0.3262438476085663,0.70589280128479,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=433120163)",1335,180,2373,322418400,33554432,-1.0,136.6329803466797,0.2864547669887543,0.32428276538848877,0.7013022303581238,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=481464209)",1335,180,2373,322418450,33554432,-1.0,136.7169189453125,0.4671473205089569,0.32409167289733887,0.7017995715141296,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=534199389)",1335,180,2373,322418500,33554432,-1.0,136.67201232910156,0.4249436855316162,0.322851300239563,0.698733925819397,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=581064239)",1335,180,2373,322418550,33554432,-1.0,136.7822723388672,0.3713671863079071,0.3223886489868164,0.6986625790596008,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=634910094)",1335,180,2373,322418600,33554432,-1.0,136.72659301757812,0.5205474495887756,0.32278957962989807,0.6985309720039368,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=681415247)",1335,180,2373,322418650,33554432,-1.0,136.64804077148438,0.845422089099884,0.32267001271247864,0.6979909539222717,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=731037680)",1335,180,2373,322418700,33554432,-1.0,136.65219116210938,0.4635254740715027,0.3217708170413971,0.6981034278869629,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=781570170)",1335,180,2373,322418750,33554432,-1.0,136.67274475097656,0.5663554072380066,0.32125523686408997,0.6973268985748291,P26W,P26W,19,15,15,10,0,51,0,50,4,1
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=832961778)",1335,180,2373,322418800,33554432,-1.0,136.59979248046875,0.5844411253929138,0.3213067054748535,0.697201132774353,P26W,P26W,19,15,15,10,0,51,0,50,4,1
