stamp,nov_header_message_id,nov_header_time_status,nov_header_gps_week,nov_header_gps_ms,nov_header_receiver_status,length,heading,pitch,heading_stdev,pitch_stdev,rover_stn_id,master_stn_id,num_sv_tracked,num_sv_in_sol,num_sv_obs,num_sv_multi,galileo_beidou_sig_mask,gps_glonass_sig_mask,sol_status,pos_type,sol_source,ext_sol_status
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=989308551)",1335,180,2373,322418950,33587200,-1.0,227.1785430908203,-16.399078369140625,0.1897803246974945,0.34703439474105835,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=63158980)",1335,180,2373,322419000,33587200,-1.0,227.17666625976562,-16.3929443359375,0.18973958492279053,0.34705543518066406,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=86493722)",1335,180,2373,322419050,33587200,-1.0,227.21546936035156,-16.419708251953125,0.18980897963047028,0.3471614420413971,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=135118831)",1335,180,2373,322419100,33587200,-1.0,227.24557495117188,-16.36639404296875,0.18980766832828522,0.34740352630615234,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=185697709)",1335,180,2373,322419150,33587200,-1.0,227.24851989746094,-16.426666259765625,0.18982775509357452,0.3472796678543091,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=335243045)",1335,180,2373,322419200,33587200,-1.0,227.1875,-16.433349609375,0.18982630968093872,0.3470996916294098,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341474597)",1335,180,2373,322419250,33587200,-1.0,227.1809844970703,-16.47894287109375,0.18982970714569092,0.3469386100769043,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=348126408)",1335,180,2373,322419300,33587200,-1.0,227.1774139404297,-16.479156494140625,0.18971912562847137,0.3466115891933441,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=422733805)",1335,180,2373,322419350,33587200,-1.0,227.1750030517578,-16.47125244140625,0.18960759043693542,0.346502423286438,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=449279794)",1335,180,2373,322419400,33587200,-1.0,227.22227478027344,-16.4412841796875,0.18970482051372528,0.34666207432746887,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=485265756)",1335,180,2373,322419450,33587200,-1.0,227.1939697265625,-16.48919677734375,0.18980565667152405,0.34661558270454407,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=539208947)",1335,180,2373,322419500,33587200,-1.0,227.20233154296875,-16.3934326171875,0.18961887061595917,0.3464835584163666,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=586414613)",1335,180,2373,322419550,33587200,-1.0,227.18724060058594,-16.433868408203125,0.18953941762447357,0.34622302651405334,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=640471106)",1335,180,2373,322419600,33587200,-1.0,227.22024536132812,-16.463897705078125,0.18954965472221375,0.3462328314781189,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=684857295)",1335,180,2373,322419650,33587200,-1.0,227.18817138671875,-16.4132080078125,0.18947063386440277,0.3462981879711151,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=734406278)",1335,180,2373,322419700,33587200,-1.0,227.153564453125,-16.515411376953125,0.18940015137195587,0.345967561006546,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=789979798)",1335,180,2373,322419750,33587200,-1.0,227.14747619628906,-16.536773681640625,0.18923458456993103,0.3457068204879761,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=841735217)",1335,180,2373,322419800,33587200,-1.0,227.172607421875,-16.338104248046875,0.18922656774520874,0.34621280431747437,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=885127301)",1335,180,2373,322419850,33587200,-1.0,227.14642333984375,-16.38116455078125,0.18909858167171478,0.34596142172813416,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=936366282)",1335,180,2373,322419900,33587200,-1.0,227.180908203125,-16.41522216796875,0.18932712078094482,0.3461795449256897,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=986637615)",1335,180,2373,322419950,33587200,-1.0,227.12588500976562,-16.456298828125,0.189253032207489,0.34587839245796204,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=67890247)",1335,180,2373,322420000,33587200,-1.0,227.1647491455078,-16.3851318359375,0.18919344246387482,0.3460337221622467,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=88922135)",1335,180,2373,322420050,33587200,-1.0,227.14605712890625,-16.4459228515625,0.18929098546504974,0.3460421562194824,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=135521233)",1335,180,2373,322420100,33587200,-1.0,227.1169891357422,-16.40081787109375,0.18920253217220306,0.345987468957901,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=185129238)",1335,180,2373,322420150,33587200,-1.0,227.10836791992188,-16.447601318359375,0.18932674825191498,0.3461093008518219,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=259611696)",1335,180,2373,322420200,33587200,-1.0,227.11756896972656,-16.4097900390625,0.189273864030838,0.3460052013397217,P07X,P07X,30,29,29,24,21,3,0,34,4,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=286440633)",1335,180,2373,322420250,33587200,-1.0,227.15760803222656,-16.51385498046875,0.18972565233707428,0.34600868821144104,P07X,P07X,30,29,29,24,21,3,0,34,4,0
