stamp,group_fields,insstatus_mode,insstatus_gps_fix,insstatus_time_error,insstatus_imu_error,insstatus_mag_pres_error,insstatus_gps_error,insstatus_gps_heading_ins,insstatus_gps_compass,poslla_x,poslla_y,poslla_z,velbody_x,velbody_y,velbody_z,velned_x,velned_y,velned_z
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=890819208)",779,1,True,False,False,False,False,False,True,36.58774185861837,-121.75527244119192,199.31517046951194,-0.00343016954138875,-0.0032404474914073944,-5.6037701142486185e-05,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=930823584)",779,1,True,False,False,False,False,False,True,36.58774185277833,-121.75527245323173,199.31544459134057,-0.004216323606669903,-0.002029778202995658,-0.0008831872837617993,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=960824352)",779,1,True,False,False,False,False,False,True,36.587741851633396,-121.7552724519765,199.31545393710803,-0.0023429077118635178,-0.0026444047689437866,-0.002507089637219906,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=990829448)",779,1,True,False,False,False,False,False,True,36.58774185049738,-121.75527245085244,199.3154729972739,-0.004002964589744806,-0.0044609117321670055,-0.0008988316985778511,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=10832008)",779,1,True,False,False,False,False,False,True,36.58774184951279,-121.75527244981764,199.31550162389613,-0.007917684502899647,-0.0024960648734122515,-0.0024831723421812057,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=40837872)",779,1,True,False,False,False,False,False,True,36.587741848000164,-121.75527244821639,199.31550243839501,-0.003688336815685034,-0.003369498997926712,0.00041102184331975877,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=50837384)",779,1,True,False,False,False,False,False,True,36.58774184733075,-121.75527244776485,199.3155086804245,-0.007322354707866907,-0.004423743579536676,-0.0007741418667137623,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=90842504)",779,1,True,False,False,False,False,False,True,36.587741845291745,-121.75527244668544,199.3155094672038,-0.0026719197630882263,-0.0053490521386265755,-0.0032705864869058132,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=100841736)",779,1,True,False,False,False,False,False,True,36.58774184479303,-121.75527244633167,199.31554360202608,-0.002320702187716961,-0.004702280275523663,-0.0037497009616345167,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=110846320)",779,1,True,False,False,False,False,False,True,36.587741855491096,-121.75527245339403,199.31595611811827,-0.006251122336834669,-0.004712784197181463,0.000581506232265383,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=130847880)",779,1,True,False,False,False,False,False,True,36.58774185422801,-121.7552724529816,199.31595422865757,-0.0040833367966115475,-0.006307009141892195,-0.001443386310711503,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=170853512)",779,1,True,False,False,False,False,False,True,36.58774185157909,-121.75527245134329,199.31599494146758,-0.0024958071298897266,-0.004826590418815613,-0.0004407924134284258,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=180852488)",779,1,True,False,False,False,False,False,True,36.58774185106575,-121.75527245138737,199.31601031968057,-0.0022344563622027636,-0.006589952856302261,-0.0015572888078168035,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=190856072)",779,1,True,False,False,False,False,False,True,36.58774185036646,-121.75527245104851,199.3160414808499,-0.004175741225481033,-0.006057546008378267,-0.002625717781484127,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=200857120)",779,1,True,False,False,False,False,False,True,36.587741849404196,-121.75527245094767,199.31606553541496,-0.0063511524349451065,-0.007525981403887272,1.557151335873641e-05,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=210859144)",779,1,True,False,False,False,False,False,True,36.58774184876339,-121.7552724505387,199.31605790895992,-0.0032181167043745518,-0.00720076123252511,-0.000560798856895417,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=220857120)",779,1,True,False,False,False,False,False,True,36.58774184820489,-121.75527245054472,199.31606094408016,-0.002138972980901599,-0.006432483904063702,-0.0017358988989144564,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=230861704)",779,1,True,False,False,False,False,False,True,36.587741847463384,-121.75527245058936,199.3160856833838,-0.0038459093775600195,-0.008493674919009209,-0.002901429310441017,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=240863752)",779,1,True,False,False,False,False,False,True,36.587741846705335,-121.75527245028512,199.3161213015519,-0.003433144884184003,-0.008109495975077152,-0.0025061664637178183,0.0,0.0,0.0
