stamp,source_topic,battery_voltage,system_voltage,system_temperature,system_mode,system_ok,laser_ok,scanner_ok,receiver_ok,datapath_ok
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=975455998)",/luminar_left/status,13.631834983825684,0.0,34.5,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=975594967)",/luminar_front/status,13.419784545898438,0.0,33.8125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=975813218)",/luminar_left/status,13.949911117553711,0.0,34.5,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=975904252)",/luminar_front/status,13.843886375427246,0.0,33.8125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=975875756)",/luminar_right/status,14.283134460449219,0.0,33.625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=976158451)",/luminar_left/status,13.980204582214355,0.0,34.5,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=976271394)",/luminar_front/status,13.737860679626465,0.0,33.8125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=976231404)",/luminar_right/status,14.298280715942383,0.0,33.625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=976396941)",/luminar_left/status,13.980204582214355,0.0,34.5,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=976451144)",/luminar_right/status,14.313426971435547,0.0,33.625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=976477951)",/luminar_front/status,13.889325141906738,0.0,33.8125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=976623203)",/luminar_left/status,13.798446655273438,0.0,34.5,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=976699967)",/luminar_front/status,13.828739166259766,0.0,33.8125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=976673716)",/luminar_right/status,14.389159202575684,0.0,33.5625,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=976838507)",/luminar_left/status,13.904472351074219,0.0,34.4375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=976943268)",/luminar_front/status,13.843886375427246,0.0,33.8125,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=976893895)",/luminar_right/status,14.328573226928711,0.0,33.5,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=977062814)",/luminar_left/status,13.889325141906738,0.0,34.4375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=977152953)",/luminar_front/status,13.828739166259766,0.0,33.75,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=977121431)",/luminar_right/status,14.252840995788574,0.0,33.375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=977275185)",/luminar_left/status,13.874178886413574,0.0,34.375,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=977365470)",/luminar_front/status,13.798446655273438,0.0,33.75,2,True,True,True,True,True
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=977334877)",/luminar_right/status,14.222548484802246,0.0,33.3125,2,True,True,True,True,True
