stamp,marelli_track_flag,marelli_vehicle_flag,marelli_sector_flag,marelli_rc_base_sync_check,marelli_rc_lte_rssi
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=902758699)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=942776221)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=962757943)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=992751968)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=12755027)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=43536180)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=62745815)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=92767270)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=102751103)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=112758323)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=153209171)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=172751332)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=182754464)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=192756308)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=203018352)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=212777130)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=222770839)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=232757977)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=242778217)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=254687534)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=262753031)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=272771880)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=286804332)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=286804332)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=302767546)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=312748940)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=322751892)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=332750155)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=342757125)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=352753076)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=363743045)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=372789801)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=383094541)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=392743200)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=402774770)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=412760231)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=422758222)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=433053466)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=442741350)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=452755870)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=462800343)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=472751818)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=482810944)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=492755447)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=503223672)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=512750305)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=522754923)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=532798601)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=542804046)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=552778376)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=564640319)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=572948107)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=582855876)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=592771834)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=602974542)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=612815122)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=622786074)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=632750053)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=672748654)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=682809207)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=692768033)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=712751304)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=722754522)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=742776985)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=772771238)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=802866124)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=812782516)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=852775967)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=882840988)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=902766549)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=942754980)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=952782715)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=962844914)",1,0,0,True,-32.0
