stamp,battery_voltage,safety_switch_state,mode_switch_state,sys_state,raptor_rolling_counter
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=540885576)",13.5,4,False,9,91
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=740930175)",13.600000000000001,4,False,9,111
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=940912009)",13.600000000000001,4,False,9,131
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=141131805)",13.5,4,False,9,151
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=340849581)",13.5,4,False,9,171
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=540879238)",13.5,4,False,9,191
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=740980500)",13.600000000000001,4,False,9,211
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=940953612)",13.600000000000001,4,False,9,231
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=142284492)",13.600000000000001,4,False,9,251
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341291903)",13.700000000000001,4,False,9,15
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=541026729)",13.700000000000001,4,False,9,35
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=740869274)",13.600000000000001,4,False,9,55
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=941058538)",13.600000000000001,4,False,9,75
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=140865288)",13.700000000000001,4,False,9,95
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=342114360)",13.700000000000001,4,False,9,115
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=540874004)",13.8,4,False,9,135
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=741203821)",13.700000000000001,4,False,9,155
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=940883350)",13.9,4,False,9,175
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=140865667)",13.9,4,False,9,195
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=340870952)",13.9,4,False,9,215
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=540858201)",13.9,4,False,9,235
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=741026263)",13.9,4,False,9,255
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=941014143)",13.9,4,False,9,19
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=141652852)",13.9,4,False,9,39
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=341202093)",13.9,4,False,9,59
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=541760525)",13.9,4,False,9,79
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=741367118)",13.9,4,False,9,99
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=942939571)",13.9,4,False,9,119
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=142271091)",13.9,4,False,9,139
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=341852883)",13.9,4,False,9,159
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=541763320)",13.9,4,False,9,179
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=741753455)",13.9,4,False,9,199
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=941793238)",14.0,4,False,9,219
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=142061428)",14.0,4,False,9,239
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=341865377)",13.9,4,False,9,3
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=541787648)",13.9,4,False,9,23
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=741778044)",13.8,4,False,9,43
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=941770388)",13.9,4,False,9,63
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=141762835)",13.9,4,False,9,83
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=342217362)",13.9,4,False,9,103
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=541884059)",13.9,4,False,9,123
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=741763849)",13.9,4,False,9,143
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=941781541)",13.9,4,False,9,163
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=141820458)",13.9,4,False,9,183
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=341801308)",13.9,4,False,9,203
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=541826070)",13.9,4,False,9,223
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=741853165)",13.9,4,False,9,243
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=941859917)",13.9,4,False,9,7
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=141823428)",13.9,4,False,9,27
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=342197603)",13.9,4,False,9,47
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=542377987)",13.9,4,False,9,67
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=741894548)",13.9,4,False,9,87
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=942080802)",13.9,4,False,9,107
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=146321233)",13.9,4,False,9,127
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=342011287)",13.9,4,False,9,147
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=546376788)",13.9,4,False,9,167
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=741841685)",13.9,4,False,9,187
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=941886418)",13.9,4,False,9,207
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=142354273)",13.9,4,False,9,227
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=341883318)",13.9,4,False,9,247
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=541888930)",13.9,4,False,9,11
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=741827958)",13.9,4,False,9,31
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=941879043)",13.9,4,False,9,51
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=141970360)",13.9,4,False,9,71
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=342309696)",13.9,4,False,9,91
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=542316133)",13.9,4,False,9,111
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=741914129)",13.9,4,False,9,131
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=942305624)",13.9,4,False,9,151
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=141912113)",13.9,4,False,9,171
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=341908566)",13.9,4,False,9,191
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=541908706)",13.9,4,False,9,211
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=742038460)",13.9,4,False,9,231
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=941934632)",13.9,4,False,9,251
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=142692159)",13.9,4,False,9,15
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=341947018)",13.9,4,False,9,35
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=542749980)",13.9,4,False,9,55
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=741892768)",13.9,4,False,9,75
