stamp,source_topic,message_data_length
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=933012549)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=971760543)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=980906691)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=63467801)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=63958678)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=67960621)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=91913394)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=124061423)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=148054953)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=156036413)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=187728274)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=219885841)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=232633744)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=235561187)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=244178850)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=251763617)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=259020744)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=266886987)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=280355290)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=280986266)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=285530609)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=299222038)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=299573838)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=307791503)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=316060148)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=324533942)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=331039412)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=331874731)",/novatel_side/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=332263712)",/novatel_side/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=332911835)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=340088192)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=348047701)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=356785887)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=363194939)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=372048414)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=381644930)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=382248719)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=382723152)",/novatel_side/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=383080327)",/novatel_side/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=387998607)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=396173883)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=404483312)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=411992878)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=419066620)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=431230352)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=431983984)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=432803660)",/novatel_side/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=433313436)",/novatel_side/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=435882592)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=443860194)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=451742864)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=459857609)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=467830100)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=480141590)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=507684174)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=515213964)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=524015867)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=536377055)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=539844013)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=547767449)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=555734581)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=563792809)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=595834892)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=603738342)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=620252245)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=636114564)",/novatel_side/oem7raw,56
