stamp,wheel_potentiometer_rr,wheel_potentiometer_rl,wheel_potentiometer_fr,wheel_potentiometer_fl
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=941977937)",43.59,44.37,35.75,35.18
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=142008783)",43.6,44.42,35.75,35.160000000000004
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=341914152)",43.57,44.43,35.730000000000004,35.14
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=541955040)",43.54,44.42,35.75,35.14
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=742062191)",43.550000000000004,44.42,35.75,35.14
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=941980815)",43.59,44.42,35.730000000000004,35.160000000000004
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=142483789)",43.59,44.4,35.75,35.160000000000004
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341959336)",43.58,44.42,35.75,35.18
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=541983863)",43.59,44.4,35.75,35.18
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=741977105)",43.59,44.42,35.75,35.160000000000004
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=942306276)",43.54,44.44,35.75,35.14
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=142010200)",43.5,44.46,35.75,35.14
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=342428739)",43.52,44.480000000000004,35.75,35.14
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=541968757)",43.52,44.46,35.75,35.14
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=741930053)",43.52,44.46,35.75,35.14
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=942258278)",43.54,44.43,35.75,35.18
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=141941444)",43.52,44.37,35.730000000000004,35.21
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=341973492)",43.49,44.32,35.730000000000004,35.230000000000004
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=541901891)",43.49,44.31,35.730000000000004,35.230000000000004
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=742757608)",43.5,44.29,35.75,35.34
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=942011791)",43.49,44.27,35.730000000000004,35.38
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=141917988)",43.480000000000004,44.35,35.75,35.410000000000004
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=341928351)",43.5,44.35,35.75,35.43
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=542763417)",43.46,44.25,35.75,35.45
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=742069016)",43.46,44.25,35.730000000000004,35.43
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=943284886)",43.44,44.27,35.75,35.46
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=143049536)",43.46,44.24,35.75,35.43
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=342811462)",43.53,44.21,35.730000000000004,35.53
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=542937220)",43.57,44.18,35.730000000000004,35.57
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=742826954)",43.65,44.29,35.730000000000004,35.38
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=945892020)",43.68,44.21,35.730000000000004,35.36
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=142776227)",43.85,44.18,35.71,35.410000000000004
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=342798698)",43.86,44.2,35.7,35.410000000000004
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=542837250)",43.77,44.160000000000004,35.730000000000004,35.29
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=742821543)",43.74,44.08,35.730000000000004,35.38
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=943667462)",43.71,44.21,35.730000000000004,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=142864898)",43.74,44.160000000000004,35.730000000000004,35.37
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=342853930)",43.75,44.21,35.71,35.29
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=542833329)",43.71,44.26,35.730000000000004,35.29
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=742958895)",43.71,44.25,35.730000000000004,35.300000000000004
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=942809376)",43.69,44.35,35.730000000000004,35.29
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=142866028)",43.64,44.31,35.730000000000004,35.25
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=342843222)",43.62,44.27,35.730000000000004,35.21
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=542845127)",43.62,44.300000000000004,35.730000000000004,35.2
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=742923559)",43.61,44.35,35.75,35.18
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=942859897)",43.61,44.300000000000004,35.730000000000004,35.230000000000004
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=142852493)",43.65,44.29,35.730000000000004,35.230000000000004
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=343807166)",43.69,44.300000000000004,35.75,35.25
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=543453805)",43.75,44.14,35.730000000000004,35.39
