stamp,fluid_pressure,variance
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=890819208)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=930823584)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=960824352)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=990829448)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=830240)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=20829984)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=50837384)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=80841480)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=100841736)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=110846320)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=140847112)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=170853512)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=180852488)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=190856072)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=200857120)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=210859144)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=220857120)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=230861704)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=240863752)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=250864520)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=260864264)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=270865800)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=280869104)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=290868872)",0.0,0.0
