stamp,throttle_position,current_gear,engine_speed_rpm,vehicle_speed_kmph,engine_run_switch,engine_state,gear_shift_status
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=891806768)",5.6000000000000005,1,739.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=931894913)",5.6000000000000005,1,731.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=951818028)",5.6000000000000005,1,723.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=991816518)",5.6000000000000005,1,711.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=1818358)",5.6000000000000005,1,711.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=32839189)",5.800000000000001,1,699.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=51854863)",5.800000000000001,1,699.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=81825796)",5.800000000000001,1,687.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=101822890)",5.800000000000001,1,687.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=111803724)",5.800000000000001,1,687.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=131822988)",5.800000000000001,1,672.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=171810202)",5.800000000000001,1,656.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=182236408)",5.800000000000001,1,656.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=191842473)",5.800000000000001,1,656.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=201866658)",5.800000000000001,1,656.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=212039869)",5.800000000000001,1,636.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=221823542)",5.800000000000001,1,636.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=231812298)",5.800000000000001,1,636.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=241817102)",5.800000000000001,1,636.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=254475689)",5.800000000000001,1,636.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=261810283)",5.800000000000001,1,624.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=271888754)",5.800000000000001,1,624.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=286586604)",5.800000000000001,1,624.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=286586604)",5.800000000000001,1,624.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=301822159)",5.800000000000001,1,624.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=311811455)",5.800000000000001,1,620.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=321817623)",5.800000000000001,1,620.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=331810639)",5.800000000000001,1,620.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=341833426)",5.800000000000001,1,620.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=351819044)",5.800000000000001,1,620.0,0.0,True,True,2
