stamp,engine_oil_pressure,fuel_pressure,coolant_temperature,transmission_temperature,transmission_pressure
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=902169292)",309.3,536.1,36.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=941809410)",308.0,534.2,36.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=961795364)",308.0,506.70000000000005,36.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=991779749)",308.0,526.0,36.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=11827929)",308.0,507.8,36.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=41774946)",304.0,510.0,36.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=62148927)",304.0,520.4,36.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=91789653)",304.0,507.0,36.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=101798172)",304.0,510.40000000000003,36.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=111779688)",304.0,532.4,36.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=151789087)",296.5,521.2,36.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=171772735)",296.5,514.1,36.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=182212890)",296.5,510.0,36.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=191804800)",296.5,507.40000000000003,36.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=201827976)",296.5,528.6,36.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=212015276)",296.5,526.8000000000001,36.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=221784158)",296.5,511.1,36.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=231774977)",286.8,509.3,36.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=241779530)",286.8,509.6,36.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=254438387)",286.8,532.0,36.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=261785556)",286.8,523.0,36.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=271851265)",286.8,510.8,36.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=286546309)",286.8,507.0,36.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=286546309)",286.8,507.0,36.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=301796809)",286.8,534.2,36.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=311785274)",286.8,516.0,36.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=321792503)",286.8,510.8,36.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=331785194)",273.40000000000003,505.5,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=341809918)",273.40000000000003,514.8000000000001,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=351795975)",273.40000000000003,533.1,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=361807392)",273.40000000000003,514.1,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=372615357)",273.40000000000003,511.5,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=381861829)",273.40000000000003,505.20000000000005,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=391782669)",273.40000000000003,518.2,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=402310543)",273.40000000000003,533.9,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=411836877)",273.40000000000003,512.6,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=421793481)",273.40000000000003,512.6,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=431801446)",260.2,506.3,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=442441226)",260.2,521.9,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=451816620)",260.2,533.1,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=461905525)",260.2,511.1,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=471788308)",260.2,511.5,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=481801097)",260.2,506.3,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=492144246)",260.2,526.8000000000001,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=501804961)",260.2,529.8000000000001,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=511828745)",260.2,510.0,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=521801157)",260.2,510.0,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=531803331)",250.70000000000002,510.40000000000003,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=541819939)",250.70000000000002,532.0,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=551808368)",250.70000000000002,520.1,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=561834878)",250.70000000000002,510.0,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=571802147)",250.70000000000002,507.8,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=581796177)",250.70000000000002,514.1,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=591822104)",250.70000000000002,535.0,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=601803541)",250.70000000000002,514.1,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=612026242)",250.70000000000002,511.1,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=621777301)",250.70000000000002,507.8,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=631800451)",246.8,527.1,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=671808729)",246.8,512.6,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=681789530)",246.8,535.0,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=691801504)",246.8,518.9,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=711824364)",246.8,508.1,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=721882507)",246.8,527.5,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=741897976)",249.4,509.6,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=771791515)",249.4,534.2,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=802009312)",249.4,510.0,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=811952490)",249.4,530.9,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=851893376)",256.0,524.9,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=881904077)",256.0,507.0,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=902385519)",256.0,535.3000000000001,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=941820709)",264.6,534.6,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=951807919)",264.6,518.9,37.0,0.0,6339.0
