stamp,engine_oil_temperature,torque_wheels,driver_traction_aim_switch_fbk,driver_traction_range_switch_fbk
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=902227806)",29.0,-70.0,0,0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=941881300)",29.0,-61.2,0,0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=961853613)",29.0,-52.5,0,0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=991847305)",29.0,-52.5,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=21819327)",29.0,-43.7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=41842691)",29.0,-35.0,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=62211025)",29.0,-35.0,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=91852437)",29.0,-26.200000000000003,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=101841769)",29.0,-17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=111822889)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=151857317)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=171837001)",29.0,8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=182254986)",29.0,8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=191872130)",29.0,8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=201896894)",29.0,17.5,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=212061744)",29.0,26.200000000000003,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=221854216)",29.0,26.200000000000003,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=231842311)",29.0,26.200000000000003,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=241848076)",29.0,26.200000000000003,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=254506057)",29.0,43.7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=261832451)",29.0,43.7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=271919012)",29.0,52.5,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=286619632)",29.0,43.7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=286619632)",29.0,43.7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=301841882)",29.0,61.2,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=311834853)",29.0,61.2,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=321838617)",29.0,61.2,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=331831630)",29.0,61.2,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=341853902)",29.0,61.2,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=351837765)",29.0,70.0,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=361854580)",29.0,70.0,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=372660999)",29.0,70.0,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=381913417)",29.0,70.0,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=391829659)",29.0,70.0,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=402381215)",29.0,78.7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=411930702)",29.0,78.7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=421860767)",29.0,78.7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=431843057)",29.0,78.7,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=442481623)",29.0,87.5,0,0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=451885529)",29.0,96.2,0,0
