stamp,source_topic,nov_header_message_name,nov_header_message_id,nov_header_time_status,nov_header_gps_week,nov_header_gps_ms,nov_header_receiver_status,error,num_status_codes,rxstat,aux1_stat,aux2_stat,aux3_stat,aux4_stat,error_strs,rxstat_strs
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=101984092)",/novatel_top/rxstatus,RXSTATUS,93,180,2373,322428074,33587200,0,5,33587200,132,0,2181039104,2149580800,,"Jammer detected, Version bit 0"
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=73041443)",/novatel_side/rxstatus,RXSTATUS,93,180,2373,322452024,33554432,0,5,33554432,128,0,2181039104,2097153,,Version bit 0
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=96392724)",/novatel_top/rxstatus,RXSTATUS,93,180,2373,322452036,33587200,0,5,33587200,132,0,2181039104,2149580801,,"Jammer detected, Version bit 0"
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=70928421)",/novatel_side/rxstatus,RXSTATUS,93,180,2373,322453024,33554432,0,5,33554432,128,0,2181039104,2097155,,Version bit 0
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=92400907)",/novatel_top/rxstatus,RXSTATUS,93,180,2373,322454033,33587200,0,5,33587200,132,0,2181039104,2149580803,,"Jammer detected, Version bit 0"
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=68097803)",/novatel_side/rxstatus,RXSTATUS,93,180,2373,322458040,33554432,0,5,33554432,128,0,2181039104,2097153,,Version bit 0
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=108127147)",/novatel_top/rxstatus,RXSTATUS,93,180,2373,322459079,33587200,0,5,33587200,132,0,2181039104,2149580801,,"Jammer detected, Version bit 0"
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=84528019)",/novatel_side/rxstatus,RXSTATUS,93,180,2373,322460049,33554432,0,5,33554432,128,0,2181039104,2097152,,Version bit 0
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=118897921)",/novatel_top/rxstatus,RXSTATUS,93,180,2373,322460090,33587200,0,5,33587200,132,0,2181039104,2149580800,,"Jammer detected, Version bit 0"
"builtin_interfaces.msg.Time(sec=1751477675, nanosec=103094840)",/novatel_top/rxstatus,RXSTATUS,93,180,2373,322493072,33587200,0,5,33587200,132,0,2181039104,2097152,,"Jammer detected, Version bit 0"
"builtin_interfaces.msg.Time(sec=1751477705, nanosec=103985021)",/novatel_top/rxstatus,RXSTATUS,93,180,2373,322523072,33587200,0,5,33554432,128,0,2181039104,2097152,,Version bit 0
"builtin_interfaces.msg.Time(sec=1751477706, nanosec=89824444)",/novatel_side/rxstatus,RXSTATUS,93,180,2373,322524028,33554432,0,5,33554432,128,0,2181039104,2097153,,Version bit 0
"builtin_interfaces.msg.Time(sec=1751477707, nanosec=99312200)",/novatel_top/rxstatus,RXSTATUS,93,180,2373,322525034,33554432,0,5,33554432,128,0,2181039104,2097153,,Version bit 0
"builtin_interfaces.msg.Time(sec=1751477707, nanosec=104179597)",/novatel_top/rxstatus,RXSTATUS,93,180,2373,322525058,33587200,0,5,33587200,132,0,2181039104,2097153,,"Jammer detected, Version bit 0"
"builtin_interfaces.msg.Time(sec=1751477708, nanosec=77754528)",/novatel_side/rxstatus,RXSTATUS,93,180,2373,322526026,33554432,0,5,33554432,128,0,2181039104,2097155,,Version bit 0
"builtin_interfaces.msg.Time(sec=1751477708, nanosec=78822114)",/novatel_side/rxstatus,RXSTATUS,93,180,2373,322526030,33554432,0,5,33554432,128,0,2181039104,2162691,,Version bit 0
"builtin_interfaces.msg.Time(sec=1751477708, nanosec=101752774)",/novatel_top/rxstatus,RXSTATUS,93,180,2373,322526031,33587200,0,5,33587200,132,0,2181039104,2097155,,"Jammer detected, Version bit 0"
"builtin_interfaces.msg.Time(sec=1751477713, nanosec=76679743)",/novatel_side/rxstatus,RXSTATUS,93,180,2373,322531044,33554432,0,5,33554432,128,0,2181039104,2162689,,Version bit 0
"builtin_interfaces.msg.Time(sec=1751477713, nanosec=107989846)",/novatel_top/rxstatus,RXSTATUS,93,180,2373,322531075,33587200,0,5,33587200,132,0,2181039104,2097153,,"Jammer detected, Version bit 0"
"builtin_interfaces.msg.Time(sec=1751477714, nanosec=79706288)",/novatel_side/rxstatus,RXSTATUS,93,180,2373,322532047,33554432,0,5,33554432,128,0,2181039104,2097153,,Version bit 0
"builtin_interfaces.msg.Time(sec=1751477714, nanosec=112308561)",/novatel_top/rxstatus,RXSTATUS,93,180,2373,322532080,33587200,0,5,33587200,132,0,2181039104,2097152,,"Jammer detected, Version bit 0"
"builtin_interfaces.msg.Time(sec=1751477715, nanosec=77936919)",/novatel_side/rxstatus,RXSTATUS,93,180,2373,322533045,33554432,0,5,33554432,128,0,2181039104,2097152,,Version bit 0
"builtin_interfaces.msg.Time(sec=1751477736, nanosec=80655994)",/novatel_side/rxstatus,RXSTATUS,93,180,2373,322554026,33554432,0,5,33554432,128,0,2181039104,2097153,,Version bit 0
