stamp,average_steering_ang_fdbk,secondary_steering_ang_fdbk,primary_steering_angle_fbk
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=890918506)",-54.5,-54.0,-55.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=930934629)",-35.0,-34.0,-35.5
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=950916055)",-24.0,-24.0,-24.5
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=990930438)",-1.0,-1.0,-1.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=882092)",4.5,4.5,4.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=32717428)",22.0,22.5,21.5
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=50927185)",34.0,34.0,33.5
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=80844528)",51.5,52.0,51.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=100946480)",63.5,64.0,63.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=110905387)",69.5,70.0,69.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=130900111)",81.0,81.5,80.5
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=171608321)",103.5,104.0,103.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=180944362)",109.0,109.5,108.5
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=190953403)",114.5,115.5,114.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=200938009)",120.5,121.0,119.5
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=210883405)",126.5,127.0,125.5
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=220921366)",132.0,133.0,131.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=230953558)",137.5,138.5,136.5
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=240917337)",142.0,143.0,141.5
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=254316462)",144.0,145.0,143.5
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=261500725)",147.0,148.0,145.5
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=270950455)",150.0,151.0,149.0
