stamp,motor_duty_cycle_cmd,motor_duty_cycle_fbk,motor_current_fbk,sbw_ecu_voltage,sbw_ecu_temp,sbw_error_code,sbw_motor_torque_estimate
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=901165639)",-76.0,-94.0,25.0,14.0,30.0,0,22.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=930972632)",-100.0,-99.0,24.0,14.0,30.0,0,21.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=960989300)",-100.0,-99.0,26.0,13.9,30.0,0,23.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=990967353)",-100.0,-99.0,27.0,13.9,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=10959627)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=32756265)",-100.0,-99.0,27.0,13.9,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=60973437)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=80867514)",-100.0,-99.0,27.0,13.8,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=100984451)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=110943661)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=150891507)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=171646923)",-100.0,-99.0,27.0,13.8,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=180972874)",-100.0,-99.0,27.0,13.9,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=190992799)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=200978613)",-100.0,-99.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=210910292)",-100.0,-99.0,27.0,13.9,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=220960420)",-100.0,-99.0,27.0,13.700000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=230992152)",83.0,-99.0,27.0,13.9,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=240955678)",-99.0,83.0,28.0,13.5,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=254356785)",-100.0,-98.0,28.0,13.700000000000001,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=261525737)",100.0,-99.0,31.0,13.700000000000001,30.0,0,28.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=270988814)",37.0,100.0,32.0,13.200000000000001,30.0,0,29.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=286456737)",100.0,37.0,30.0,14.100000000000001,30.0,0,27.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=286456737)",100.0,37.0,30.0,14.100000000000001,30.0,0,27.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=300942640)",-35.0,-69.0,32.0,13.700000000000001,30.0,0,29.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=310916257)",100.0,-33.0,30.0,13.9,30.0,0,27.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=320911461)",34.0,100.0,30.0,13.4,30.0,0,27.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=330931504)",100.0,33.0,28.0,14.100000000000001,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=340901380)",100.0,100.0,30.0,13.9,30.0,0,27.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=350880564)",100.0,100.0,30.0,13.9,30.0,0,27.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=360869694)",100.0,100.0,29.0,13.8,30.0,0,26.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=371147348)",100.0,100.0,28.0,13.8,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=381086120)",100.0,100.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=390940400)",100.0,100.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=400928960)",100.0,100.0,26.0,13.9,30.0,0,23.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=411618689)",100.0,100.0,26.0,13.700000000000001,30.0,0,23.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=421339828)",100.0,100.0,26.0,13.8,30.0,0,23.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=430947589)",100.0,100.0,26.0,14.0,30.0,0,23.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=442387886)",100.0,100.0,27.0,13.9,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=450962195)",100.0,100.0,27.0,13.9,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=461835850)",100.0,100.0,27.0,13.700000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=470957454)",100.0,100.0,27.0,13.8,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=481603960)",100.0,100.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=490973915)",100.0,100.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=501032525)",100.0,100.0,28.0,13.9,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=510995050)",94.0,94.0,28.0,13.700000000000001,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=520960658)",73.0,73.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=530905197)",69.0,69.0,25.0,14.100000000000001,30.0,0,22.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=540920499)",53.0,53.0,24.0,14.100000000000001,30.0,0,21.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=551019793)",55.0,55.0,22.0,14.0,30.0,0,19.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=561054526)",51.0,51.0,21.0,13.9,30.0,0,18.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=571530478)",56.0,56.0,20.0,14.0,30.0,0,17.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=581033567)",47.0,47.0,19.0,14.100000000000001,30.0,0,16.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=590935641)",47.0,47.0,18.0,14.100000000000001,30.0,0,15.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=600938070)",40.0,40.0,17.0,13.9,30.0,0,14.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=610911119)",35.0,35.0,17.0,14.0,30.0,0,14.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=620916223)",49.0,49.0,16.0,14.100000000000001,30.0,0,13.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=631041031)",34.0,33.0,16.0,14.100000000000001,30.0,0,13.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=670912685)",32.0,31.0,15.0,14.100000000000001,30.0,0,12.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=681209832)",23.0,22.0,14.0,14.100000000000001,30.0,0,11.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=691296082)",64.0,64.0,13.0,14.0,30.0,0,10.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=701146902)",96.0,96.0,15.0,13.8,30.0,0,12.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=710983692)",100.0,100.0,19.0,13.9,30.0,0,16.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=741020787)",-57.0,0.0,24.0,14.0,30.0,0,21.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=771067240)",100.0,100.0,28.0,13.8,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=790979937)",100.0,100.0,31.0,13.9,30.0,0,28.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=811192650)",100.0,100.0,31.0,14.0,30.0,0,28.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=842372981)",100.0,100.0,31.0,14.0,30.0,0,28.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=881151953)",100.0,100.0,30.0,14.0,30.0,0,27.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=900946177)",100.0,100.0,30.0,14.0,30.0,0,27.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=921770466)",100.0,100.0,29.0,14.0,30.0,0,26.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=951752669)",100.0,100.0,29.0,13.9,30.0,0,26.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=971352306)",100.0,100.0,29.0,14.100000000000001,30.0,0,26.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=981877730)",100.0,100.0,29.0,14.0,30.0,0,26.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=1774447)",100.0,100.0,29.0,14.0,30.0,0,26.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=61777191)",-100.0,-99.0,36.0,14.0,30.0,0,33.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=71004507)",100.0,0.0,35.0,14.100000000000001,30.0,0,32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=80890683)",-100.0,0.0,36.0,14.0,30.0,0,33.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=94397507)",-92.0,-91.0,35.0,14.0,30.0,0,32.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=100965405)",-100.0,-99.0,34.0,14.0,30.0,0,31.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=111362312)",-100.0,-99.0,34.0,14.0,30.0,0,31.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=121899792)",-100.0,-99.0,33.0,14.0,30.0,0,30.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=142325473)",-100.0,-99.0,31.0,14.100000000000001,30.0,0,28.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=150984968)",-100.0,-99.0,30.0,14.0,30.0,0,27.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=160990214)",-100.0,-99.0,29.0,14.0,30.0,0,26.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=171765335)",-100.0,-99.0,29.0,14.100000000000001,30.0,0,26.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=181030248)",-100.0,-99.0,29.0,14.0,30.0,0,26.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=191774483)",-100.0,-99.0,29.0,14.0,30.0,0,26.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=200925461)",-100.0,-99.0,29.0,14.0,30.0,0,26.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=210978802)",-100.0,-99.0,28.0,14.100000000000001,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=220964038)",-100.0,-99.0,28.0,14.0,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=230924370)",-100.0,-99.0,28.0,14.0,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=240969816)",-100.0,-99.0,28.0,14.0,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=251775527)",-92.0,-91.0,28.0,14.100000000000001,30.0,0,25.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=261070568)",-72.0,-71.0,27.0,14.200000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=272308200)",-61.0,-60.0,25.0,14.200000000000001,30.0,0,22.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=281646765)",-55.0,-54.0,24.0,14.100000000000001,30.0,0,21.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=290969029)",-65.0,-64.0,22.0,14.200000000000001,30.0,0,19.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=302457656)",-53.0,-52.0,21.0,14.200000000000001,30.0,0,18.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=311140338)",-50.0,-49.0,19.0,14.200000000000001,30.0,0,16.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=320967157)",-41.0,-40.0,19.0,14.100000000000001,30.0,0,16.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=331757442)",-53.0,-52.0,18.0,14.200000000000001,30.0,0,15.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341370754)",-41.0,-40.0,17.0,14.200000000000001,30.0,0,14.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=351076943)",-42.0,-41.0,16.0,14.200000000000001,30.0,0,13.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=360931566)",-37.0,-35.0,16.0,14.100000000000001,30.0,0,13.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=371757925)",-43.0,-42.0,15.0,14.3,30.0,0,12.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=381766886)",-39.0,-38.0,15.0,14.200000000000001,30.0,0,12.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=391760487)",-32.0,-31.0,14.0,14.200000000000001,30.0,0,11.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=401065458)",-35.0,-33.0,13.0,14.100000000000001,30.0,0,10.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=412312895)",-41.0,-40.0,13.0,14.3,30.0,0,10.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=422676788)",-34.0,-33.0,12.0,14.200000000000001,30.0,0,9.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=431799721)",-34.0,-33.0,12.0,14.100000000000001,30.0,0,9.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=450985566)",-31.0,-29.0,11.0,14.3,30.0,0,8.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=461004914)",-35.0,-33.0,11.0,14.200000000000001,30.0,0,8.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=471844908)",-33.0,-31.0,11.0,14.100000000000001,30.0,0,8.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=481009660)",-28.0,-26.0,10.0,14.100000000000001,30.0,0,7.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=491030198)",-37.0,-35.0,10.0,14.3,30.0,0,7.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=501004241)",-26.0,-24.0,10.0,14.3,30.0,0,7.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=511829545)",-36.0,-35.0,9.0,14.100000000000001,30.0,0,6.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=521205198)",-30.0,-29.0,9.0,14.200000000000001,30.0,0,6.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=530971147)",-30.0,-29.0,9.0,14.200000000000001,30.0,0,6.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=541090410)",-25.0,-24.0,9.0,14.3,30.0,0,6.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=551045803)",-39.0,-38.0,9.0,14.100000000000001,30.0,0,6.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=561773885)",-28.0,-26.0,9.0,14.200000000000001,30.0,0,6.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=571061844)",-34.0,-33.0,8.0,14.3,30.0,0,5.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=582108011)",-100.0,-99.0,10.0,13.8,30.0,0,7.0
