stamp,frame_id,child_frame_id,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,rot_w
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=889834157)",world,ego_car,122.99484129043735,142.03362101920885,0.0,-0.0,0.0,0.929684241216261,-0.36835745090081373
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=930306477)",world,ego_car,122.99420886488791,142.03358334474476,0.0,-0.0,0.0,0.9296739896634117,-0.3683833233784002
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=960137736)",world,ego_car,122.99392925030533,142.033380071979,0.0,-0.0,0.0,0.9296508621558931,-0.3684416839783531
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=989807614)",world,ego_car,122.99377425663701,142.0331588399757,0.0,-0.0,0.0,0.9296536804165983,-0.36843457287267883
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=226843)",world,ego_car,122.99375664995029,142.03314404740442,0.0,-0.0,0.0,0.9296563901801679,-0.3684277353799247
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=29885050)",world,ego_car,122.99370524050688,142.03310089279088,0.0,-0.0,0.0,0.929648890675089,-0.36844665837346974
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=50196438)",world,ego_car,122.99367212712346,142.0330731294786,0.0,-0.0,0.0,0.9296351960902376,-0.3684812100911871
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=89851277)",world,ego_car,122.99336818492714,142.03274837494357,0.0,-0.0,0.0,0.9296180571479361,-0.36852444671215046
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=100194311)",world,ego_car,122.99335021072068,142.03273261642815,0.0,-0.0,0.0,0.9296164554346557,-0.3685284870740754
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=110729992)",world,ego_car,122.99285421790225,142.03279012858857,0.0,-0.0,0.0,0.9296202771020886,-0.36851884673736346
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=140075088)",world,ego_car,122.99268777419316,142.03267438617235,0.0,-0.0,0.0,0.9296117067037662,-0.3685404655656023
