stamp,time_ref,source
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=890819208)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=930823584)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=960824352)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=990829448)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=830240)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=20829984)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=50837384)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=80841480)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=100841736)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=110846320)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=140847112)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=170853512)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=180852488)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=190856072)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=200857120)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=210859144)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=220857120)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=230861704)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=240863752)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=250864520)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=260864264)","builtin_interfaces.msg.Time(sec=0, nanosec=0)",gps
