stamp,message_name,message_id,message_type,sequence_number,time_status,gps_week_number,gps_week_milliseconds,receiver_status,idle_time,clock_status,offset,utc_offset,utc_year,utc_month,utc_day,utc_hour,utc_min,utc_msec,utc_status
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=58895519)",TIME,101,0,0,180,2373,322418000,33554432,55,0,-1.5607836148678293e-09,-18.00000000048342,2025,7,2,17,33,20000,1
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=58210654)",TIME,101,0,0,180,2373,322419000,33554432,49,0,-1.4714219783498603e-09,-18.00000000048342,2025,7,2,17,33,21000,1
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=63139930)",TIME,101,0,0,180,2373,322420000,33554432,49,0,-1.5690381876984773e-09,-18.00000000048342,2025,7,2,17,33,22000,1
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=58547413)",TIME,101,0,0,180,2373,322421000,33554432,53,0,-1.5073767135251038e-09,-18.00000000048342,2025,7,2,17,33,23000,1
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=58986701)",TIME,101,0,0,180,2373,322422000,33554432,53,0,-1.2927448320640735e-09,-18.00000000048342,2025,7,2,17,33,24000,1
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=60018266)",TIME,101,0,0,180,2373,322423000,33554432,46,0,-1.1033165760965592e-09,-18.00000000048342,2025,7,2,17,33,25000,1
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=60598041)",TIME,101,0,0,180,2373,322424000,33554432,46,0,-1.1524179573906683e-09,-18.00000000048342,2025,7,2,17,33,26000,1
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=60174410)",TIME,101,0,0,180,2373,322425000,33554432,54,0,-1.1297031630526647e-09,-18.00000000048342,2025,7,2,17,33,27000,1
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=57321383)",TIME,101,0,0,180,2373,322426000,33554432,54,0,-1.1472507360957629e-09,-18.00000000048342,2025,7,2,17,33,28000,1
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=57800390)",TIME,101,0,0,180,2373,322427000,33554432,54,0,-1.021448377546865e-09,-18.00000000048342,2025,7,2,17,33,29000,1
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=57757662)",TIME,101,0,0,180,2373,322428000,33554432,56,0,-9.423974481413874e-10,-18.00000000048342,2025,7,2,17,33,30000,1
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=58906357)",TIME,101,0,0,180,2373,322429000,33554432,51,0,-9.81033123341704e-10,-18.00000000048342,2025,7,2,17,33,31000,1
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=65723688)",TIME,101,0,0,180,2373,322430000,33554432,51,0,-9.591312614357455e-10,-18.00000000048342,2025,7,2,17,33,32000,1
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=60115001)",TIME,101,0,0,180,2373,322431000,33554432,51,0,-1.1381813734885035e-09,-18.00000000048342,2025,7,2,17,33,33000,1
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=59270041)",TIME,101,0,0,180,2373,322432000,33554432,51,0,-1.35619292464623e-09,-18.00000000048342,2025,7,2,17,33,34000,1
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=57848295)",TIME,101,0,0,180,2373,322433000,33554432,54,0,-1.4202188208058083e-09,-18.00000000048342,2025,7,2,17,33,35000,1
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=60275195)",TIME,101,0,0,180,2373,322434000,33554432,54,0,-1.4989111448459287e-09,-18.00000000048342,2025,7,2,17,33,36000,1
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=58363237)",TIME,101,0,0,180,2373,322435000,33554432,54,0,-1.6539285143238812e-09,-18.00000000048342,2025,7,2,17,33,37000,1
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=59308422)",TIME,101,0,0,180,2373,322436000,33554432,54,0,-1.4351984188763839e-09,-18.00000000048342,2025,7,2,17,33,38000,1
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=58919511)",TIME,101,0,0,180,2373,322437000,33554432,54,0,-1.0446243578365286e-09,-18.00000000048342,2025,7,2,17,33,39000,1
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=60709994)",TIME,101,0,0,180,2373,322438000,33554432,55,0,-7.272418439840698e-10,-18.00000000048342,2025,7,2,17,33,40000,1
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=60071930)",TIME,101,0,0,180,2373,322439000,33554432,55,0,-8.168105284435304e-10,-18.00000000048342,2025,7,2,17,33,41000,1
