stamp,message_name,message_id,message_type,sequence_number,time_status,gps_week_number,gps_week_milliseconds,receiver_status,idle_time,clock_status,offset,utc_offset,utc_year,utc_month,utc_day,utc_hour,utc_min,utc_msec,utc_status
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=61186983)",TIME,101,0,0,180,2373,322419000,33587200,26,0,1.2298990924536066e-09,-17.999999999068677,2025,7,2,17,33,21000,1
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=66755026)",TIME,101,0,0,180,2373,322420000,33587200,26,0,1.2958609028930834e-09,-17.999999999068677,2025,7,2,17,33,22000,1
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=63507299)",TIME,101,0,0,180,2373,322421000,33587200,25,0,1.3042338197795014e-09,-17.999999999068677,2025,7,2,17,33,23000,1
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=65046886)",TIME,101,0,0,180,2373,322422000,33587200,25,0,9.050900747805371e-10,-17.999999999068677,2025,7,2,17,33,24000,1
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=56582247)",TIME,101,0,0,180,2373,322423000,33587200,24,0,5.374537997389093e-10,-17.999999999068677,2025,7,2,17,33,25000,1
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=59731164)",TIME,101,0,0,180,2373,322424000,33587200,23,0,3.08854950619781e-10,-17.999999999068677,2025,7,2,17,33,26000,1
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=63218542)",TIME,101,0,0,180,2373,322425000,33587200,23,0,1.4124072202863757e-10,-17.999999999068677,2025,7,2,17,33,27000,1
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=59636006)",TIME,101,0,0,180,2373,322426000,33587200,26,0,2.1684952474121492e-11,-17.999999999068677,2025,7,2,17,33,28000,1
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=61828874)",TIME,101,0,0,180,2373,322427000,33587200,27,0,-4.1849666283070477e-10,-17.999999999068677,2025,7,2,17,33,29000,1
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=68175858)",TIME,101,0,0,180,2373,322428000,33587200,27,0,-8.175348264927623e-10,-17.999999999068677,2025,7,2,17,33,30000,1
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=64928255)",TIME,101,0,0,180,2373,322429000,33587200,27,0,-8.309367286913982e-10,-17.999999999068677,2025,7,2,17,33,31000,1
"builtin_interfaces.msg.Time(sec=1751477612, nanosec=92929780)",TIME,101,0,0,180,2373,322430000,33587200,24,0,-1.2528738572516352e-09,-17.999999999068677,2025,7,2,17,33,32000,1
"builtin_interfaces.msg.Time(sec=1751477613, nanosec=67412680)",TIME,101,0,0,180,2373,322431000,33587200,24,0,-1.3072601163922239e-09,-17.999999999068677,2025,7,2,17,33,33000,1
"builtin_interfaces.msg.Time(sec=1751477614, nanosec=66838921)",TIME,101,0,0,180,2373,322432000,33587200,25,0,-1.2091080011592175e-09,-17.999999999068677,2025,7,2,17,33,34000,1
"builtin_interfaces.msg.Time(sec=1751477615, nanosec=68025164)",TIME,101,0,0,180,2373,322433000,33587200,24,0,-1.222794429320049e-09,-17.999999999068677,2025,7,2,17,33,35000,1
"builtin_interfaces.msg.Time(sec=1751477616, nanosec=71798046)",TIME,101,0,0,180,2373,322434000,33587200,24,0,-1.4814625314419517e-09,-17.999999999068677,2025,7,2,17,33,36000,1
"builtin_interfaces.msg.Time(sec=1751477617, nanosec=75504359)",TIME,101,0,0,180,2373,322435000,33587200,24,0,-1.698895849298177e-09,-17.999999999068677,2025,7,2,17,33,37000,1
"builtin_interfaces.msg.Time(sec=1751477618, nanosec=68125593)",TIME,101,0,0,180,2373,322436000,33587200,25,0,-1.7005847725797237e-09,-17.999999999068677,2025,7,2,17,33,38000,1
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=67446505)",TIME,101,0,0,180,2373,322437000,33587200,24,0,-1.899315523681387e-09,-17.999999999068677,2025,7,2,17,33,39000,1
"builtin_interfaces.msg.Time(sec=1751477620, nanosec=101674205)",TIME,101,0,0,180,2373,322438000,33587200,24,0,-1.88382571890181e-09,-17.999999999068677,2025,7,2,17,33,40000,1
"builtin_interfaces.msg.Time(sec=1751477621, nanosec=67822025)",TIME,101,0,0,180,2373,322439000,33587200,25,0,-1.8702430435046247e-09,-17.999999999068677,2025,7,2,17,33,41000,1
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=87623184)",TIME,101,0,0,180,2373,322440000,33587200,25,0,-2.272092131707957e-09,-17.999999999068677,2025,7,2,17,33,42000,1
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=97755763)",TIME,101,0,0,180,2373,322441000,33587200,27,0,-2.470376504388248e-09,-17.999999999068677,2025,7,2,17,33,43000,1
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=72608766)",TIME,101,0,0,180,2373,322442000,33587200,24,0,-2.4410590720826394e-09,-17.999999999068677,2025,7,2,17,33,44000,1
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=69612927)",TIME,101,0,0,180,2373,322443000,33587200,24,0,-2.5729809578736517e-09,-17.999999999068677,2025,7,2,17,33,45000,1
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=100507494)",TIME,101,0,0,180,2373,322444000,33587200,24,0,-2.561127991597592e-09,-17.999999999068677,2025,7,2,17,33,46000,1
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=89739170)",TIME,101,0,0,180,2373,322445000,33587200,24,0,-2.5420051671187924e-09,-17.999999999068677,2025,7,2,17,33,47000,1
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=71523668)",TIME,101,0,0,180,2373,322446000,33587200,24,0,-2.5949503325137937e-09,-17.999999999068677,2025,7,2,17,33,48000,1
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=71039866)",TIME,101,0,0,180,2373,322447000,33587200,24,0,-2.6186498151537534e-09,-17.999999999068677,2025,7,2,17,33,49000,1
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=73437488)",TIME,101,0,0,180,2373,322448000,33587200,23,0,-2.5543595889358614e-09,-17.999999999068677,2025,7,2,17,33,50000,1
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=96448304)",TIME,101,0,0,180,2373,322449000,33587200,22,0,-2.542757676982387e-09,-17.999999999068677,2025,7,2,17,33,51000,1
"builtin_interfaces.msg.Time(sec=1751477632, nanosec=92679343)",TIME,101,0,0,180,2373,322450000,33587200,22,0,-2.493309479284049e-09,-17.999999999068677,2025,7,2,17,33,52000,1
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=89840259)",TIME,101,0,0,180,2373,322452000,33587200,22,0,-1.747957246002781e-09,-17.999999999068677,2025,7,2,17,33,54000,1
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=92268322)",TIME,101,0,0,180,2373,322453000,33587200,23,0,-1.3431447162604493e-09,-17.999999999068677,2025,7,2,17,33,55000,1
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=86521266)",TIME,101,0,0,180,2373,322454000,33587200,23,0,-1.325974925812029e-09,-17.999999999068677,2025,7,2,17,33,56000,1
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=74386184)",TIME,101,0,0,180,2373,322455000,33587200,27,0,-1.152727633685632e-09,-17.999999999068677,2025,7,2,17,33,57000,1
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=70224628)",TIME,101,0,0,180,2373,322456000,33587200,27,0,-1.2954715589077338e-09,-17.999999999068677,2025,7,2,17,33,58000,1
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=68352799)",TIME,101,0,0,180,2373,322457000,33587200,33,0,-9.543520491865956e-10,-17.999999999068677,2025,7,2,17,33,59000,1
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=74597476)",TIME,101,0,0,180,2373,322458000,33587200,29,0,-1.2077053973273961e-09,-17.999999999068677,2025,7,2,17,34,0,1
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=75229730)",TIME,101,0,0,180,2373,322459000,33587200,29,0,-1.6197357897419154e-09,-17.999999999068677,2025,7,2,17,34,1000,1
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=101751861)",TIME,101,0,0,180,2373,322460000,33587200,27,0,-1.7002778581223168e-09,-17.999999999068677,2025,7,2,17,34,2000,1
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=87556335)",TIME,101,0,0,180,2373,322461000,33587200,25,0,-1.7155660591757734e-09,-17.999999999068677,2025,7,2,17,34,3000,1
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=73715803)",TIME,101,0,0,180,2373,322462000,33587200,24,0,-1.8225024801508061e-09,-17.999999999068677,2025,7,2,17,34,4000,1
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=70745847)",TIME,101,0,0,180,2373,322463000,33587200,24,0,-1.9163730223788282e-09,-17.999999999068677,2025,7,2,17,34,5000,1
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=74981356)",TIME,101,0,0,180,2373,322464000,33587200,26,0,-1.8298782031669629e-09,-17.999999999068677,2025,7,2,17,34,6000,1
"builtin_interfaces.msg.Time(sec=1751477647, nanosec=72835475)",TIME,101,0,0,180,2373,322465000,33587200,27,0,-1.967712856479374e-09,-17.999999999068677,2025,7,2,17,34,7000,1
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=88289818)",TIME,101,0,0,180,2373,322466000,33587200,27,0,-2.085631835535235e-09,-17.999999999068677,2025,7,2,17,34,8000,1
"builtin_interfaces.msg.Time(sec=1751477649, nanosec=76966327)",TIME,101,0,0,180,2373,322467000,33587200,26,0,-2.2835226171109e-09,-17.999999999068677,2025,7,2,17,34,9000,1
"builtin_interfaces.msg.Time(sec=1751477650, nanosec=73967713)",TIME,101,0,0,180,2373,322468000,33587200,26,0,-2.496102033603125e-09,-17.999999999068677,2025,7,2,17,34,10000,1
"builtin_interfaces.msg.Time(sec=1751477651, nanosec=72232601)",TIME,101,0,0,180,2373,322469000,33587200,26,0,-2.6815855850692095e-09,-17.999999999068677,2025,7,2,17,34,11000,1
"builtin_interfaces.msg.Time(sec=1751477652, nanosec=89837735)",TIME,101,0,0,180,2373,322470000,33587200,28,0,-2.6580059291476237e-09,-17.999999999068677,2025,7,2,17,34,12000,1
"builtin_interfaces.msg.Time(sec=1751477653, nanosec=69043352)",TIME,101,0,0,180,2373,322471000,33587200,28,0,-2.766306292596204e-09,-17.999999999068677,2025,7,2,17,34,13000,1
"builtin_interfaces.msg.Time(sec=1751477654, nanosec=74587722)",TIME,101,0,0,180,2373,322472000,33587200,30,0,-2.9474375450943247e-09,-17.999999999068677,2025,7,2,17,34,14000,1
"builtin_interfaces.msg.Time(sec=1751477655, nanosec=98494643)",TIME,101,0,0,180,2373,322473000,33587200,30,0,-2.8738123622834104e-09,-17.999999999068677,2025,7,2,17,34,15000,1
"builtin_interfaces.msg.Time(sec=1751477656, nanosec=96287899)",TIME,101,0,0,180,2373,322474000,33587200,28,0,-2.6403248468796937e-09,-17.999999999068677,2025,7,2,17,34,16000,1
"builtin_interfaces.msg.Time(sec=1751477657, nanosec=87330321)",TIME,101,0,0,180,2373,322475000,33587200,28,0,-2.963095860133241e-09,-17.999999999068677,2025,7,2,17,34,17000,1
"builtin_interfaces.msg.Time(sec=1751477658, nanosec=76724371)",TIME,101,0,0,180,2373,322476000,33587200,29,0,-2.733830119188624e-09,-17.999999999068677,2025,7,2,17,34,18000,1
"builtin_interfaces.msg.Time(sec=1751477659, nanosec=77743598)",TIME,101,0,0,180,2373,322477000,33587200,29,0,-2.628513998350471e-09,-17.999999999068677,2025,7,2,17,34,19000,1
"builtin_interfaces.msg.Time(sec=1751477660, nanosec=75668023)",TIME,101,0,0,180,2373,322478000,33587200,28,0,-2.7170485732650613e-09,-17.999999999068677,2025,7,2,17,34,20000,1
"builtin_interfaces.msg.Time(sec=1751477661, nanosec=89735537)",TIME,101,0,0,180,2373,322479000,33587200,27,0,-2.6978607432756563e-09,-17.999999999068677,2025,7,2,17,34,21000,1
"builtin_interfaces.msg.Time(sec=1751477662, nanosec=93619643)",TIME,101,0,0,180,2373,322480000,33587200,26,0,-2.321892038307899e-09,-17.999999999068677,2025,7,2,17,34,22000,1
"builtin_interfaces.msg.Time(sec=1751477663, nanosec=74611989)",TIME,101,0,0,180,2373,322481000,33587200,26,0,-2.254995269068001e-09,-17.999999999068677,2025,7,2,17,34,23000,1
"builtin_interfaces.msg.Time(sec=1751477664, nanosec=73858604)",TIME,101,0,0,180,2373,322482000,33587200,27,0,-2.0730419061608895e-09,-17.999999999068677,2025,7,2,17,34,24000,1
"builtin_interfaces.msg.Time(sec=1751477665, nanosec=73706768)",TIME,101,0,0,180,2373,322483000,33587200,27,0,-2.2999081457530426e-09,-17.999999999068677,2025,7,2,17,34,25000,1
"builtin_interfaces.msg.Time(sec=1751477666, nanosec=75434787)",TIME,101,0,0,180,2373,322484000,33587200,27,0,-2.654275679802896e-09,-17.999999999068677,2025,7,2,17,34,26000,1
"builtin_interfaces.msg.Time(sec=1751477667, nanosec=77972489)",TIME,101,0,0,180,2373,322485000,33587200,28,0,-2.8807400708985115e-09,-17.999999999068677,2025,7,2,17,34,27000,1
"builtin_interfaces.msg.Time(sec=1751477668, nanosec=76811768)",TIME,101,0,0,180,2373,322486000,33587200,30,0,-3.177182055064918e-09,-17.999999999068677,2025,7,2,17,34,28000,1
"builtin_interfaces.msg.Time(sec=1751477669, nanosec=72988520)",TIME,101,0,0,180,2373,322487000,33587200,29,0,-3.4163778961773257e-09,-17.999999999068677,2025,7,2,17,34,29000,1
"builtin_interfaces.msg.Time(sec=1751477670, nanosec=74167883)",TIME,101,0,0,180,2373,322488000,33587200,26,0,-3.816784615922569e-09,-17.999999999068677,2025,7,2,17,34,30000,1
"builtin_interfaces.msg.Time(sec=1751477671, nanosec=74104371)",TIME,101,0,0,180,2373,322489000,33587200,26,0,-4.066633419948021e-09,-17.999999999068677,2025,7,2,17,34,31000,1
"builtin_interfaces.msg.Time(sec=1751477672, nanosec=98793825)",TIME,101,0,0,180,2373,322490000,33587200,30,0,-4.2114208257550846e-09,-17.999999999068677,2025,7,2,17,34,32000,1
"builtin_interfaces.msg.Time(sec=1751477673, nanosec=91917149)",TIME,101,0,0,180,2373,322491000,33587200,29,0,-4.1188963264822365e-09,-17.999999999068677,2025,7,2,17,34,33000,1
"builtin_interfaces.msg.Time(sec=1751477674, nanosec=70029084)",TIME,101,0,0,180,2373,322492000,33587200,27,0,-4.265334590460471e-09,-17.999999999068677,2025,7,2,17,34,34000,1
"builtin_interfaces.msg.Time(sec=1751477675, nanosec=74388024)",TIME,101,0,0,180,2373,322493000,33587200,25,0,-4.2071548629825424e-09,-17.999999999068677,2025,7,2,17,34,35000,1
"builtin_interfaces.msg.Time(sec=1751477676, nanosec=76140949)",TIME,101,0,0,180,2373,322494000,33587200,25,0,-3.9913986271513074e-09,-17.999999999068677,2025,7,2,17,34,36000,1
"builtin_interfaces.msg.Time(sec=1751477677, nanosec=76667879)",TIME,101,0,0,180,2373,322495000,33587200,26,0,-3.9785031524313965e-09,-17.999999999068677,2025,7,2,17,34,37000,1
"builtin_interfaces.msg.Time(sec=1751477678, nanosec=74483915)",TIME,101,0,0,180,2373,322496000,33587200,26,0,-3.5485428102669102e-09,-17.999999999068677,2025,7,2,17,34,38000,1
"builtin_interfaces.msg.Time(sec=1751477679, nanosec=78452514)",TIME,101,0,0,180,2373,322497000,33587200,26,0,-3.2882274892781614e-09,-17.999999999068677,2025,7,2,17,34,39000,1
"builtin_interfaces.msg.Time(sec=1751477680, nanosec=72647585)",TIME,101,0,0,180,2373,322498000,33587200,25,0,-2.987187252885082e-09,-17.999999999068677,2025,7,2,17,34,40000,1
"builtin_interfaces.msg.Time(sec=1751477681, nanosec=94579405)",TIME,101,0,0,180,2373,322499000,33587200,25,0,-2.2559626883056904e-09,-17.999999999068677,2025,7,2,17,34,41000,1
