stamp,fl_tire_pressure_gauge,fl_tire_pressure
"builtin_interfaces.msg.Time(sec=1751477598, nanosec=745735328)",1631.0,2614.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745735698)",1631.0,2614.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745735698)",1631.0,2614.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745735698)",1631.0,2614.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745735698)",1631.0,2614.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745735698)",1631.0,2614.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745819167)",1631.0,2614.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745819167)",1631.0,2614.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745819167)",1631.0,2614.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745819167)",1631.0,2614.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745819167)",1631.0,2614.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=745754499)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=745754499)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=745754499)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=745754499)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=745754499)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=745746703)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=745746703)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=745746703)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=745746703)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=745746703)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746474538)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746474538)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746474538)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746474538)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746474538)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=745872204)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=745872204)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=745872204)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=745872204)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=745872204)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=745737022)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=745737022)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=745737022)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=745737022)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=745737022)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=745757710)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=745757710)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=745757710)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=745757710)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=745757710)",1630.0,2613.0
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=745737896)",1630.0,2613.0
