stamp,fr_tire_pressure_gauge,fr_tire_pressure
"builtin_interfaces.msg.Time(sec=1751477598, nanosec=745844413)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477598, nanosec=745844413)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745845055)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745845055)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745845055)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745845055)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745845055)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745930395)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745930395)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745930395)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745930395)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745930395)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746794730)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746794730)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746794730)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746794730)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746794730)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=745830503)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=745830503)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=745830503)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=745830503)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=745830503)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746788254)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746788254)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746788254)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746788254)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746788254)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746788254)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=749195659)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=749195659)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=749195659)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=749195659)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746767722)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746767722)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746767722)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746767722)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746767722)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746767722)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=750362015)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=750362015)",0.0,0.0
