stamp,rl_tire_pressure_gauge,rl_tire_pressure
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=746884825)",1422.0,2404.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=746884825)",1422.0,2404.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=746884825)",1422.0,2404.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=746884825)",1422.0,2404.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=746934452)",1420.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=746934452)",1420.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=746934452)",1420.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=746934452)",1420.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=746934452)",1420.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=746934452)",1420.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=747805931)",1421.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=747805931)",1421.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=747805931)",1421.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=747805931)",1421.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747288559)",1420.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747288559)",1420.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747288559)",1420.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747288559)",1420.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747288559)",1420.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=748096968)",1420.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=748096968)",1420.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=748096968)",1420.0,2403.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=748096968)",1420.0,2403.0
