stamp,rr_tire_pressure_gauge,rr_tire_pressure
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=747835903)",1445.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=747835903)",1445.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=747835903)",1445.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=747835903)",1445.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=748117458)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=748117458)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=748117458)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=748117458)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=748117458)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=747949947)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=747949947)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=747949947)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=747949947)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=747949947)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=748023353)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=748023353)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=748023353)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=748023353)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=748023353)",1446.0,2428.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=748258244)",1446.0,2429.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=748258244)",1446.0,2429.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=748258244)",1446.0,2429.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=748258244)",1446.0,2429.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=748258244)",1446.0,2429.0
