stamp,fl_tire_temp_04,fl_tire_temp_03,fl_tire_temp_02,fl_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745758941)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745758941)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745758941)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745758941)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745758941)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745842592)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745842592)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745842592)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745842592)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745842592)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=745807424)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=745807424)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=745807424)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=745807424)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=745807424)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=745768045)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=745768045)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=745768045)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=745768045)",-100.0,-100.0,-100.0,-100.0
