stamp,fr_tire_temp_04,fr_tire_temp_03,fr_tire_temp_02,fr_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745867833)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745867833)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745867833)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745867833)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=745867833)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745954086)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745954086)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745954086)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745954086)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=745954086)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746821697)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746821697)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746821697)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746821697)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=746821697)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747159027)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747159027)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747159027)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747159027)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=747159027)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746803101)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746803101)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746803101)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746803101)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746803101)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=746803101)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=749224035)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=749224035)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=749224035)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=749224035)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746793779)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746793779)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746793779)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746793779)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746793779)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477605, nanosec=746793779)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=750389946)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=750389946)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=750389946)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477606, nanosec=750389946)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=746766562)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=746766562)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=746766562)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=746766562)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=746766562)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477607, nanosec=746766562)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=750224122)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=750224122)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=750224122)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477608, nanosec=750224122)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=746844872)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=746844872)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=746844872)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=746844872)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477609, nanosec=746844872)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=746807899)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=746807899)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=746807899)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=746807899)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477610, nanosec=746807899)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=746826631)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=746826631)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=746826631)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477611, nanosec=746826631)",-100.0,-100.0,-100.0,-100.0
