stamp,wheel_speed_rl,wheel_speed_fr,wheel_speed_fl,wheel_speed_rr
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=922233354)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=940794595)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477599, nanosec=970781164)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=776050)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=20784713)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=40798302)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=60806472)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=90797223)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=100809784)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=110780885)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=150777428)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=171471581)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=180846944)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=190816020)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=200809893)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=210789590)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=220807619)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=230818080)",0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=240780074)",0.0,0.0,0.0,0.0
