stamp,slip_ratio_fr_wheel_status,slip_angle_fr_wheel_status,wheel_speed_fr_wheel_status,slip_ratio_fl_wheel_status,slip_angle_fl_wheel_status,wheel_speed_fl_wheel_status,slip_ratio_rr_wheel_status,slip_angle_rr_wheel_status,wheel_speed_rr_wheel_status,slip_ratio_rl_wheel_status,slip_angle_rl_wheel_status,wheel_speed_rl_wheel_status
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=53464443)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=63272042)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=73471208)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=83782647)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=93333975)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=103356932)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=113265972)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=123524599)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=133383325)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=143449908)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=153449826)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=163421334)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=173409176)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=183433142)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=193240034)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=204101365)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=213501547)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=223268702)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=233580832)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=243636267)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=253470671)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
